"","Abiotrophia","Acetanaerobacterium","Acetitomaculum","Acetivibrio","Acetoanaerobium","Acetobacter","Achromobacter","Acidaminobacter","Acidaminococcus","Acidovorax","Acinetobacter","Actinobacillus","Actinobaculum","Actinomyces","Adlercreutzia","Aerococcus","Aeromonas","Aggregatibacter","Akkermansia","Alcaligenes","Alistipes","Alkalibacter","Alkalibacterium","Alkalibaculum","Alkaliphilus","Allisonella","Allobaculum","Alloscardovia","Anaerobiospirillum","Anaerobranca","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaerophaga","Anaeroplasma","Anaerorhabdus","Anaerosphaera","Anaerosporobacter","Anaerostipes","Anaerotruncus","Anaerovibrio","Anaerovorax","Aquabacterium","Aquaspirillum","Arcanobacterium","Arthrobacter","Asteroleplasma","Atopobium","Atopostipes","Azonexus","Azospirillum","Bacillus","Bacteroides","Barnesiella","Bdellovibrio","Bifidobacterium","Bilophila","Blautia","Brachybacterium","Brachyspira","Bradyrhizobium","Brevibacillus","Brevibacterium","Brevundimonas","Bulleidia","Burkholderia","Butyricicoccus","Butyricimonas","Butyrivibrio","Caldilinea","Caldimonas","Caloramator","Campylobacter","Carnobacterium","Catenibacterium","Catonella","Cedecea","Cellulomonas","Cellulosilyticum","Cerasicoccus","Chryseobacterium","Citrobacter","Cloacibacillus","Cloacibacterium","Clostridium_III","Clostridium_IV","Clostridium_XI","Clostridium_XII","Clostridium_XVIII","Clostridium_XlVa","Clostridium_XlVb","Clostridium_sensu_stricto","Collinsella","Comamonas","Coprobacillus","Coprococcus","Coraliomargarita","Coriobacterium","Corynebacterium","Cronobacter","Cryptobacterium","Cupriavidus","Dehalobacter","Delftia","Denitrobacterium","Dermabacter","Desmospora","Desulfitobacterium","Desulfobulbus","Desulfohalobium","Desulfosporosinus","Desulfotomaculum","Desulfovibrio","Dethiobacter","Dethiosulfatibacter","Devosia","Dialister","Dietzia","Dongia","Dorea","Dysgonomonas","Eggerthella","Elizabethkingia","Elusimicrobium","Enhydrobacter","Enterobacter","Enterococcus","Enterorhabdus","Eremococcus","Erwinia","Erysipelothrix","EscherichiaShigella","Ethanoligenens","Eubacterium","Facklamia","Faecalibacterium","Fastidiosipila","Filifactor","Finegoldia","Flavobacterium","Flavonifractor","Fodinicurvata","Francisella","Fusobacterium","Galbibacter","Gallicola","Gardnerella","Gemella","Gemmiger","Geoalkalibacter","Geobacillus","Georgfuchsia","Geosporobacter","Gordonibacter","Gracilibacter","Granulicatella","Haemophilus","Hafnia","Hallella","Halochromatium","Halomonas","Haloplasma","Helcococcus","Helicobacter","Heliobacterium","Herbaspirillum","Hespellia","Holdemania","Howardella","Humibacter","Hydrogenoanaerobacterium","Hydrotalea","Hymenobacter","Janthinobacterium","Jonquetella","Kangiella","Kiloniella","Klebsiella","Kluyvera","Kocuria","Lachnobacterium","Lactobacillus","Lactococcus","Lactonifactor","Leptotrichia","Leucobacter","Leuconostoc","Limnobacter","Listeria","Lutispora","Lysinibacillus","Mangrovibacter","Marispirillum","Marvinbryantia","Megamonas","Megasphaera","Mesoplasma","Methanobrevibacter","Methanosphaera","Methylobacterium","Microbacterium","Micrococcus","Mitsuokella","Mobiluncus","Modestobacter","Mogibacterium","Moorella","Moraxella","Morganella","Moryella","Mucilaginibacter","Murdochiella","Mycobacterium","Mycoplasma","Natronincola","Negativicoccus","Neisseria","Nesterenkonia","Nocardioides","Nonomuraea","Nosocomiicoccus","Novispirillum","Novosphingobium","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oxalicibacterium","Oxalobacter","Paenibacillus","Paludibacter","Pantoea","Papillibacter","Parabacteroides","Paracoccus","Paraeggerthella","Parapedobacter","Paraprevotella","Parasporobacterium","Parasutterella","Parvimonas","Pectobacterium","Pediococcus","Pedobacter","Pelistega","Pelomonas","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phyllobacterium","Planobacterium","Plesiomonas","Pontibacter","Porphyromonas","Prevotella","Propionibacterium","Proteocatella","Proteus","Providencia","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pseudoxanthomonas","Psychrobacter","Psychromonas","Pyramidobacter","Ralstonia","Raoultella","Rhizobium","Rhodococcus","Rhodospirillum","Rikenella","Robinsoniella","Roseburia","Rothia","Ruminobacter","Ruminococcus","Saccharibacillus","Saccharofermentans","Salmonella","Sarcina","Scardovia","Schlegelella","Schwartzia","Selenomonas","Serratia","Shewanella","Shimwellia","Shinella","Shuttleworthia","Slackia","Sneathia","Soehngenia","Solibacillus","Solobacterium","Sphingobacterium","Sphingobium","Sphingomonas","Sphingopyxis","Spirochaeta","Spiroplasma","Spirosoma","Sporacetigenium","Sporanaerobacter","Sporobacter","Sporosalibacterium","Sporosarcina","Staphylococcus","Stenotrophomonas","Streptacidiphilus","Streptobacillus","Streptococcus","Streptomyces","Subdoligranulum","Succinatimonas","Succiniclasticum","Succinivibrio","Sulfuritalea","Sutterella","Syntrophococcus","Syntrophomonas","TM7_genera_incertae_sedis","Tannerella","Tepidibacter","Tepidimicrobium","Tessaracoccus","Thermanaerovibrio","Thermoanaerobacter","Thermogymnomonas","Thermotalea","Thiohalobacter","Thiomonas","Thioprofundum","Tindallia","Tissierella","Treponema","Turicibacter","Unassigned","Ureaplasma","Vagococcus","Vampirovibrio","Varibaculum","Variovorax","Veillonella","Vibrio","Victivallis","Virgibacillus","Vulcanibacillus","Weissella","Yersinia","Zimmermannella"
"4EP1",0,342,0,0,0,0,0,0,86,0,0,0,0,1,1,0,0,0,0,0,184,0,0,0,0,0,30,0,0,0,0,13,0,0,0,11,0,0,2,33,4,0,1,0,2,0,0,0,0,0,0,0,0,1326,155,0,80,29,183,0,0,0,0,0,0,0,0,80,84,1,0,0,3,0,0,11,0,0,0,0,0,0,0,17,0,46,98,2,0,6,266,34,1,36,0,0,46,161,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,182,0,0,1,0,0,0,76,0,0,0,6,0,0,1,0,0,0,2,1,1,50,0,518,0,0,0,0,20,0,0,1,6,0,0,0,18,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,3,5,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,15,0,0,1,0,0,0,0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,66,0,2,0,1,0,0,324,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,566,0,0,0,0,15,1548,0,0,0,0,6,62,0,0,0,0,0,0,0,0,0,44,0,0,330,0,0,83,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,36,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,22,0,0,249,0,1,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,21,1,892,0,0,2,0,0,0,0,82,0,0,0,0,0
"4EP10",0,0,0,0,0,0,0,0,129,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,47,0,0,0,0,0,0,377,0,11,0,0,0,85,0,11,1,0,6,0,0,4,0,0,0,0,0,7108,0,0,62,18,150,0,3,0,0,0,0,0,0,228,0,3,0,0,3,0,0,9,0,1,0,0,0,0,14,0,0,0,2,450,0,6,109,1,14,0,0,2,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,26,0,0,618,0,2,0,12,0,87,37,0,0,0,2,1049,1,0,0,6,0,0,0,0,0,0,0,1,3,0,0,1,20,1,0,0,0,0,11,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,85,14,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,2,0,0,782,0,0,0,0,0,53,0,0,0,0,0,0,1,0,0,118,0,0,0,0,16,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,0,0,4,0,0,91,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,71,176,0,0,1,0,0,16,0,0,0,0,0,0,0
"4EP12",0,71,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,3,0,73,0,0,0,0,4,1,0,0,0,0,1,0,0,0,11,0,0,27,21,10,10,4,0,6,0,0,4,0,0,0,0,0,331,191,0,15,6,161,0,2,0,0,0,0,0,0,7,9,3,0,0,3,0,0,9,0,0,0,0,0,0,0,5,0,5,20,15,0,0,187,3,0,29,0,1,69,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,18,0,0,0,0,0,0,43,0,1,0,11,0,0,1,0,0,0,2,0,1,52,0,217,0,0,0,0,6,0,0,5,3,0,0,0,140,1,0,0,0,0,108,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,9,0,0,1,0,0,68,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,110,0,0,0,2,0,0,168,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,107,0,0,0,0,15,2308,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,21,0,0,87,0,0,813,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,8,0,0,0,0,2288,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,1153,0,0,19,0,0,0,0,23,0,0,19,0,0
"4EP15",0,16,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,13,0,0,0,0,0,15,0,0,0,0,18,0,0,0,10,0,0,0,99,32,9,43,0,6,0,0,4,0,0,0,0,0,1437,53,0,6,0,1563,0,2,0,0,0,0,0,0,18,35,3,0,0,34,0,0,211,0,0,0,0,0,0,0,0,0,158,12,6,0,14,399,48,354,18,0,6,310,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2,30,0,0,0,16,0,0,137,0,11,0,10,0,0,1,5,0,0,2,1,3,174,0,316,0,0,0,0,6,0,0,0,3,0,0,0,43,1,0,0,0,0,140,0,0,0,2,0,0,0,0,0,0,2,1,18,8,25,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,22,0,0,1,2,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,246,0,0,257,0,1,0,3,0,0,206,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,392,0,0,0,0,50,8,0,0,0,0,0,0,0,0,0,23,0,0,105,0,0,461,0,5,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,1,0,1,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,375,0,0,138,0,0,0,0,37,0,0,0,0,0
"4EP17",0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,11,2,0,0,44,19,12,1,0,6,0,0,4,0,0,0,0,0,4366,34,0,23,19,589,0,2,0,0,0,0,0,0,39,8,3,0,0,3,0,0,9,0,1,0,0,0,0,0,0,0,1,27,254,0,156,552,5,1,128,0,2,372,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,270,0,4,0,12,0,0,1,0,0,0,18,67,1,35,0,42,0,0,0,0,48,0,0,0,3,0,0,1,5,1,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,61,0,0,177,0,0,0,2,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,237,0,0,0,0,15,21,0,0,0,0,5,33,0,0,0,0,0,0,0,0,0,17,0,0,1272,0,0,146,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,15,171,0,0,0,0,0,0,0,0,0,0,0,0,0
"4EP19",0,60,0,0,0,0,0,0,197,0,0,0,0,2,1,0,0,0,36,0,79,2,0,0,0,2,98,0,0,0,0,1,0,0,0,11,0,0,5,12,2,12,4,0,6,0,0,4,0,0,0,0,0,63,2,0,189,0,1035,0,2,0,0,0,0,0,0,8,19,3,0,0,20,0,0,256,0,0,0,0,0,0,0,0,0,126,14,2,0,0,1292,75,226,111,0,8,555,2,0,0,0,1,0,0,0,66,0,0,0,0,0,0,2,26,0,0,0,93,0,0,123,0,0,0,12,0,0,1,19,0,0,2,5,1,656,0,361,0,0,0,0,1,0,0,0,3,0,0,0,443,1,0,0,0,0,276,0,0,0,85,0,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,0,1,0,0,20,38,0,0,0,0,0,0,0,58,0,0,1,2,0,214,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,36,0,206,0,1,0,2,0,0,134,0,0,0,2,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,15,247,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,17,0,0,66,0,0,87,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,1019,0,0,0,0,0,0,0,3,0,0,0,0,0
"4EP20",0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,13,150,0,0,0,0,1,0,0,0,11,0,0,29,11,0,11,8,0,6,0,0,4,0,0,0,0,0,31,40,0,2,0,242,0,113,0,0,0,0,0,0,32,1,3,0,0,3,0,0,311,0,0,0,0,0,0,0,0,0,23,10,2,0,2,129,3,1,27,0,0,288,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,13,0,0,0,46,0,0,64,0,0,0,11,0,0,1,6,0,0,2,0,1,28,0,1105,0,0,0,0,2,0,0,0,3,0,0,0,55,1,0,0,0,0,11,0,12,0,2,0,0,0,0,0,0,1,1,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,19,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,19,45,57,0,1,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,152,0,0,0,0,15,4912,0,0,0,0,31,2,0,0,0,0,0,0,0,0,0,21,0,0,355,0,0,206,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,77,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,992,0,0,22,0,0,0,0,4,0,0,0,0,0
"4EP21",0,6,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,72,0,0,0,0,8,49,0,0,0,0,0,0,0,0,12,0,0,25,87,1,0,4,0,2,0,0,0,0,0,0,0,0,172,126,0,29,0,322,0,0,0,0,0,0,0,0,76,28,1,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,87,12,11,0,16,617,9,68,33,0,0,270,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,98,0,0,0,51,0,0,51,0,0,0,6,0,0,1,12,0,0,2,0,1,172,0,594,0,0,0,0,4,0,0,0,6,0,0,0,100,1,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,4,2,2,12,0,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,3,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,285,0,0,0,1,0,0,352,0,0,0,16,0,1,0,0,0,0,0,0,28,0,0,2,0,0,0,0,185,2056,0,0,0,0,63,8,0,0,0,0,0,0,0,0,0,41,0,1,134,0,0,339,0,6,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,4,0,0,0,0,25,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1278,0,0,32,0,0,0,0,13,0,0,0,0,0
"4EP22",0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,126,0,627,0,0,0,0,0,1,0,0,0,0,16,0,0,0,11,0,0,1,16,2,11,1,0,6,0,0,4,0,0,0,0,0,3159,119,0,13,1,247,0,2,0,0,0,0,0,0,12,23,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,9,97,244,0,1,338,5,145,16,0,1,235,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2,84,0,0,0,11,0,1,22,0,0,0,12,0,0,1,3,0,0,2,22,1,61,0,825,0,0,0,0,10,0,0,1,3,0,0,0,674,1,0,0,0,0,11,0,13,0,3,0,0,0,0,0,0,1,1,5,0,4,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,151,0,0,0,3,0,0,916,0,0,0,195,0,1,0,0,0,0,0,0,1,0,0,71,0,0,0,0,258,35,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,18,0,0,134,0,0,174,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,170,0,2,0,0,1,0,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,36,158,537,0,0,0,0,0,1,0,5,0,0,0,0,0
"4EP23",0,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,2,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,701,0,0,1,0,2,0,0,0,0,0,0,0,0,5758,272,0,0,0,530,0,0,0,0,0,0,0,0,105,42,1,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,116,2,2,0,108,650,4,0,11,0,0,122,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,33,0,0,323,0,1,0,6,0,0,1,0,0,0,2,0,76,130,0,755,0,0,0,0,8,0,0,0,6,0,0,0,521,1,0,0,0,0,4,1,10,0,1,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,15,5,0,0,0,1,0,0,275,0,0,0,439,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,84,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,43,0,0,496,0,0,152,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,47,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,2,124,0,0,0,0,0,23,0,0,0,0,0,0,0
