,Acetanaerobacterium,Acetivibrio,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Akkermansia,Alistipes,Allisonella,Allobaculum,Anaerococcus,Anaerofilum,Anaeroplasma,Anaerosporobacter,Anaerostipes,Anaerotruncus,Anaerovorax,Atopobium,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Bulleidia,Butyricicoccus,Butyricimonas,Butyrivibrio,Caldimonas,Caloramator,Campylobacter,Catenibacterium,Citrobacter,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Coprobacillus,Coprococcus,Coraliomargarita,Corynebacterium,Cronobacter,Denitrobacterium,Desulfotomaculum,Desulfovibrio,Dialister,Dietzia,Dorea,Eggerthella,Elusimicrobium,Enterobacter,Enterococcus,Enterorhabdus,Erysipelothrix,EscherichiaShigella,Ethanoligenens,Eubacterium,Faecalibacterium,Finegoldia,Flavonifractor,Fusobacterium,Gemella,Gemmiger,Gordonibacter,Gracilibacter,Granulicatella,Haemophilus,Hespellia,Holdemania,Howardella,Hydrogenoanaerobacterium,Klebsiella,Lachnobacterium,Lactobacillus,Lactococcus,Lactonifactor,Lutispora,Marvinbryantia,Megamonas,Megasphaera,Methanobrevibacter,Methanosphaera,Mitsuokella,Mobiluncus,Mogibacterium,Moryella,Murdochiella,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Oxalobacter,Papillibacter,Parabacteroides,Paraprevotella,Parasporobacterium,Parasutterella,Parvimonas,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Robinsoniella,Roseburia,Rothia,Ruminococcus,Saccharofermentans,Selenomonas,Slackia,Sneathia,Solobacterium,Spiroplasma,Sporobacter,Staphylococcus,Streptococcus,Subdoligranulum,Succinivibrio,Sutterella,TM7_genera_incertae_sedis,Tepidimicrobium,Treponema,Turicibacter,Unassigned,Vampirovibrio,Veillonella,Victivallis,Weissella
4EP1,258,0,897,0,6,0,0,458,0,3,0,3,0,17,11,18,0,0,3849,352,245,229,114,0,88,179,0,0,0,0,0,0,78,52,0,61,1136,217,3,107,0,4,18,0,0,0,0,538,1,0,77,1,0,0,0,0,0,3,0,86,1300,0,169,188,1,1,1,0,0,0,5,12,6,2,0,0,0,1,1,8,0,0,0,3,0,0,0,0,0,0,55,6,0,204,5,5,567,90,1,11,0,0,0,0,2244,0,2259,0,39,5,0,899,1,119,0,0,6,0,1,0,24,0,86,11,0,160,7,0,0,0,1045,1,0,87,0
4EP10,0,0,1032,0,44,0,1,6,0,41,0,0,0,0,20,1,0,0,8950,0,291,291,100,0,213,0,0,0,0,0,0,2,0,0,63,76,522,10,14,0,7,0,0,0,2,0,0,0,60,0,979,5,0,5,19,0,0,2907,0,0,3,0,8,2,4,2,0,0,2,0,2,0,0,0,1,0,22,52,3,0,1,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1263,0,0,988,0,0,0,0,1104,0,6,0,0,2,0,6,1,214,0,0,0,0,1,0,1,0,46,16,0,0,2,0,0,11,134,1,37,0,0
4EP12,114,0,381,0,1,0,193,351,10,0,0,1,0,302,4,26,4,0,2665,436,66,120,102,0,7,55,0,0,0,0,0,0,16,20,1,3,943,33,0,95,2,23,0,0,0,0,0,127,0,0,41,3,0,0,0,0,0,1,0,93,390,0,68,26,1,237,0,2,1,0,0,5,0,1,0,0,1,0,0,4,0,0,298,0,0,0,0,1,0,0,39,0,0,371,0,7,398,0,0,51,0,0,0,0,1028,0,2468,0,4,7,0,222,0,1708,0,46,0,0,0,0,129,0,30,72,4273,210,2,0,0,0,1306,23,0,31,2
4EP15,32,0,3,2,1,0,96,188,0,1,0,3,0,9,33,81,24,0,3859,198,23,28,475,7,17,115,0,0,5,0,547,0,221,17,0,108,1684,286,758,68,20,185,0,0,0,11,0,185,41,0,176,14,0,0,0,11,0,11,0,283,689,0,65,0,0,59,0,4,0,0,5,39,10,1,0,2,0,0,1,12,1,0,0,4,0,0,0,0,0,0,4671,0,0,672,5,40,492,70,47,17,0,0,0,0,1,0,309,11,9,2,6,270,0,958,0,0,49,0,0,120,213,0,5,62,0,0,0,0,0,0,476,164,0,41,0
4EP17,5,0,1,0,3,0,0,54,0,9,0,0,0,0,7,48,0,0,7601,171,90,590,284,0,39,51,0,0,0,0,0,0,3,23,50,335,2141,55,2,436,4,201,0,0,1,0,0,0,1,1,372,8,0,0,0,0,1,848,0,75,6,0,585,0,3,0,1,0,1,0,4,0,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,94,0,0,525,0,8,542,0,16,0,0,0,0,0,1579,0,14,0,22,1,0,2472,0,361,0,0,0,0,0,0,4,0,13,51,1,2,1,0,0,1,134,0,0,0,0
4EP19,100,0,1414,0,27,0,431,350,3,99,0,1,0,33,2,16,3,0,1247,33,902,3,437,0,11,74,0,0,3,0,580,0,155,18,0,0,3868,363,618,387,22,379,0,0,0,27,0,165,784,0,143,0,0,0,0,38,0,47,0,915,799,0,25,0,0,633,0,21,0,0,2,3,22,0,0,26,13,0,0,52,1,0,794,0,0,0,0,3,0,0,49,97,0,577,3,26,354,2,18,1,0,31,0,0,1,0,143,2,4,3,0,156,0,185,0,0,32,0,0,64,571,0,241,17,1,0,2,0,0,0,1222,0,1,2,0
4EP20,11,0,12,0,0,0,0,11,43,145,0,1,0,343,2,0,8,0,182,174,12,35,141,0,31,11,0,0,0,0,606,0,44,14,0,59,539,38,2,90,0,179,0,0,0,4,0,94,305,0,69,0,0,0,0,12,0,0,0,65,2752,0,38,0,0,87,0,0,0,9,6,11,7,0,0,0,0,0,0,3,0,0,3,0,0,51,0,0,0,0,12,47,86,210,2,0,40,1,2,1,0,0,0,0,1189,0,9200,4,5,2,4,932,0,481,0,0,21,0,0,0,14,0,6,6,33,35,0,0,0,0,1123,26,0,3,0
4EP21,13,0,359,0,2,0,0,248,20,49,0,0,0,274,28,6,3,0,1368,332,69,16,189,4,73,90,0,0,0,0,0,0,128,17,1,85,2234,61,84,102,0,188,0,0,0,7,0,312,375,0,48,0,0,0,0,19,0,0,0,281,1475,0,40,1,0,144,0,0,0,1,7,5,14,2,0,1,0,2,1,3,1,511,0,0,0,0,0,1,0,0,47,0,0,644,0,2,576,49,30,34,0,3,0,0,11,1,5767,15,9,0,17,333,2,694,0,0,9,0,0,34,357,0,9,33,1,494,0,0,0,0,1412,49,1,16,0
4EP22,135,0,0,0,3,0,723,720,0,0,1,4,0,11,3,16,0,1,5782,342,40,62,149,0,14,86,0,0,0,0,0,0,28,45,49,48,1471,53,376,62,2,167,0,0,1,11,0,298,2,0,26,0,0,0,0,4,0,178,0,102,2089,0,97,3,1,1227,0,0,0,10,5,17,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,52,0,0,478,0,7,1297,377,16,61,0,0,0,0,753,5,14,0,9,5,0,313,0,410,0,1,0,0,1,0,48,0,255,283,1,414,7,0,0,22,683,0,2,5,0
4EP23,40,0,1,0,3,0,0,79,0,0,0,0,0,6,137,3,0,0,8398,532,0,0,276,0,110,123,0,0,0,0,0,0,146,0,0,252,2297,31,0,49,0,70,0,0,0,0,0,1,247,0,415,4,0,0,0,0,0,0,6,196,1719,0,68,0,0,743,0,0,2,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,1,8,0,0,554,702,36,0,1,0,0,0,0,0,5,0,16,5,0,1641,3,300,0,0,0,0,0,0,6,0,26,5,2,383,4,0,0,0,78,0,46,0,0
4EP25,33,0,0,0,12,0,202,376,0,60,0,2,0,33,5,14,7,0,2052,74,911,33,127,0,44,123,0,0,4,0,262,0,404,25,51,4,809,59,16,233,0,255,0,0,0,2,0,218,1043,0,62,0,0,0,0,6,0,411,0,801,2556,0,78,0,0,131,0,14,0,0,10,0,0,2,0,189,2,0,0,13,1,0,0,9,1,0,0,1,0,0,45,53,0,1193,14,19,208,38,21,355,0,0,0,0,60,0,1497,3,13,1,1,1716,0,1420,0,1,28,0,0,93,219,0,82,36,2,1,8,0,0,1,892,0,3,165,0
4EP28,33,0,567,0,2,0,0,449,28,230,0,1,0,46,10,5,13,0,6060,53,242,0,240,0,41,115,0,0,0,0,0,0,83,8,0,64,1656,130,4,412,0,223,0,0,3,1,0,265,1,0,174,0,0,0,0,0,0,412,0,60,1369,0,58,0,1,285,0,6,0,0,17,2,13,0,0,3,0,0,1,4,1,0,0,3,0,0,0,6,0,0,120,155,0,1155,0,17,638,122,54,0,1,6,0,0,535,0,434,6,8,3,0,1537,1,468,0,0,26,0,1,0,151,0,142,29,0,0,0,0,0,0,963,0,0,0,0
4EP29,2,0,2,0,1,0,1,367,18,0,0,1,0,19,29,3,0,0,1923,400,457,25,223,0,90,0,0,0,0,0,0,0,206,11,0,151,1273,97,0,89,1,47,0,0,0,1,0,139,1,0,80,0,0,0,0,3,0,1,0,41,1718,0,53,0,1,140,0,0,0,4,6,1,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,84,5,0,184,0,1,187,135,2,7,0,0,0,0,1005,0,7344,0,9,5,0,1267,0,331,0,0,39,0,1,1,46,0,2,29,0,612,0,0,0,0,1026,0,2,0,0
4EP3,9,0,1,0,4,0,1,8,27,116,0,0,0,62,0,4,9,0,257,107,20,35,34,0,6,0,0,0,0,0,141,0,208,10,29,1,1164,16,138,160,0,151,0,1,0,0,0,1,0,0,56,0,0,0,0,16,0,12,0,97,1813,0,25,0,0,54,0,0,1,52,7,1,0,0,0,1,49,0,0,0,0,0,0,0,0,47,0,1,0,0,44,28,1,577,0,5,192,83,7,0,0,0,0,0,1504,0,8834,1,13,1,0,1258,0,242,0,0,38,0,0,0,88,0,123,21,3,345,1,0,0,4,1511,0,40,0,0
4EP30,1,0,769,0,6,0,0,368,0,0,0,0,0,0,7,9,0,2,8322,390,249,52,56,0,17,24,0,0,0,0,0,1,2,25,18,45,810,5,26,26,0,338,0,0,0,0,0,99,223,0,568,1,0,0,0,0,0,0,0,5,1110,0,64,2139,0,41,0,0,0,2,6,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,84,0,0,49,0,0,314,296,2,234,0,0,0,0,326,0,9,0,6,1,0,2312,0,29,0,0,5,0,0,0,2,0,20,0,0,334,7,0,0,2,132,0,0,0,0
4EP31,0,0,815,0,7,0,0,539,13,20,0,0,0,2,25,22,0,1,5795,9,166,4,166,0,56,219,0,0,0,0,0,0,70,29,4,96,2151,103,0,139,11,50,0,0,0,0,0,0,86,0,206,0,0,0,0,25,0,0,1,339,2974,0,278,1,1,457,0,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,675,0,0,8,0,0,0,0,0,30,1,265,0,11,498,363,17,0,0,0,1,0,1440,0,136,1,1,3,0,645,0,97,0,0,4,0,0,1,5,0,98,54,1,489,4,0,0,0,236,0,14,0,0
4EP33,21,0,46,0,6,0,20,191,0,1,0,0,0,23,99,4,0,0,7186,659,254,83,287,0,149,0,0,0,0,0,1015,0,133,12,90,10,1898,122,3,32,0,252,0,0,0,0,0,0,1032,0,313,0,0,0,0,0,0,1,0,282,2759,0,51,0,0,368,1,0,0,2,7,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,167,0,4,188,0,15,516,1,0,0,0,2,0,7,0,7,3,1,748,3,423,0,0,0,0,0,0,22,0,54,72,0,1,4,0,0,1,251,27,27,0,0
4EP34,181,0,1,0,7,0,0,32,29,0,0,0,0,21,17,8,0,0,5319,298,1,173,133,0,179,0,0,0,0,0,0,0,44,57,4,323,3603,161,2,93,1,153,0,2,0,0,0,0,1059,0,69,6,0,0,0,0,0,0,2,195,1605,0,190,1,2,276,4,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,403,0,5,260,548,4,1385,0,0,0,0,1,0,205,0,11,4,0,1966,2,32,0,1,0,0,0,0,44,0,97,14,0,0,8,0,0,0,181,0,2,0,0
4EP35,83,0,12,0,1,0,0,685,0,0,0,2,0,43,5,10,2,0,3315,728,366,85,191,0,49,116,0,0,0,0,1341,0,135,19,1,159,1907,63,7,101,0,178,0,0,0,0,0,90,2,0,202,1,6,0,0,0,0,1,1,7,4396,0,78,0,0,65,0,2,0,0,14,4,0,0,0,1,1,0,0,6,0,0,1,0,0,0,0,0,0,0,200,5,0,608,0,18,351,25,201,559,0,0,0,0,730,0,9,0,7,2,4,694,0,107,0,0,0,0,0,2,72,0,11,50,2,268,0,0,0,0,1304,83,0,10,0
4EP36,36,0,0,0,4,0,313,553,0,0,0,2,0,32,4,7,6,0,4839,172,48,105,227,0,175,95,0,0,2,0,0,0,396,18,7,19,1862,115,436,79,3,370,0,0,0,0,0,16,463,0,35,2,0,0,0,0,0,2,0,203,1529,0,42,0,0,433,3,7,0,10,4,1,0,1,0,62,0,0,1,6,0,0,0,0,0,0,0,0,0,0,146,1,0,630,8,41,164,0,13,272,0,0,0,0,0,0,12,1,4,5,1,2573,1,1805,0,0,0,0,0,5,187,0,101,6,0,1,2,0,0,0,520,0,5,4,0
4EP37,30,0,271,0,1,0,0,2,24,13,0,0,0,218,1,1,6,0,128,29,57,5,81,34,38,8,0,0,0,0,131,0,56,9,3,1,966,23,36,68,0,116,0,0,0,5,0,118,233,0,51,0,0,0,0,8,0,12,0,200,525,0,20,0,0,34,0,0,0,0,3,4,4,0,0,0,1,0,0,0,3,1,340,0,0,345,0,0,0,0,4,17,116,411,2,0,28,4,7,0,0,0,0,0,679,0,8939,1,5,9,3,402,0,285,0,419,3,0,0,71,112,0,8,1,2792,54,0,0,0,0,776,172,3,75,0
4EP38,2,0,1,0,0,0,8419,1571,0,161,0,7,0,0,52,439,0,0,2538,445,0,26,102,0,1,0,0,0,21,0,1,0,24,19,12,823,527,7,62,50,37,3,0,1,0,89,0,107,36,0,86,15,0,0,0,0,0,0,0,376,8,0,74,0,0,0,19,47,0,0,3,11,0,0,0,6,0,0,1,16,1,0,0,31,0,0,0,0,0,0,640,0,0,50,0,38,696,0,0,1,0,0,0,0,0,0,6,0,8,2,0,22,0,698,0,1,0,0,0,0,5,0,81,575,1,84,0,0,0,0,701,0,0,0,0
