"","Acetanaerobacterium","Acidaminococcus","Acinetobacter","Actinomyces","Adlercreutzia","Akkermansia","Alistipes","Allisonella","Allobaculum","Anaerococcus","Anaerofilum","Anaerorhabdus","Anaerosporobacter","Anaerostipes","Anaerotruncus","Anaerovorax","Atopobium","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevibacterium","Bulleidia","Butyricicoccus","Butyricimonas","Caldimonas","Caloramator","Campylobacter","Catenibacterium","Citrobacter","Clostridium_III","Clostridium_IV","Clostridium_XI","Clostridium_XVIII","Clostridium_XlVa","Clostridium_XlVb","Clostridium_sensu_stricto","Collinsella","Comamonas","Coprobacillus","Coprococcus","Corynebacterium","Cronobacter","Denitrobacterium","Desulfotomaculum","Desulfovibrio","Dialister","Dietzia","Dorea","Eggerthella","Enterobacter","Enterococcus","Enterorhabdus","Erwinia","Erysipelothrix","EscherichiaShigella","Ethanoligenens","Eubacterium","Faecalibacterium","Filifactor","Finegoldia","Flavonifractor","Fusobacterium","Gardnerella","Gemella","Gemmiger","Geosporobacter","Gordonibacter","Gracilibacter","Granulicatella","Haemophilus","Hafnia","Halomonas","Hespellia","Holdemania","Howardella","Klebsiella","Kluyvera","Lachnobacterium","Lactobacillus","Lactococcus","Lactonifactor","Leuconostoc","Lutispora","Marvinbryantia","Megamonas","Megasphaera","Methanobrevibacter","Methylobacterium","Micrococcus","Mitsuokella","Mobiluncus","Mogibacterium","Moryella","Murdochiella","Mycoplasma","Negativicoccus","Neisseria","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Pantoea","Papillibacter","Parabacteroides","Paraprevotella","Parasporobacterium","Parasutterella","Parvimonas","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Porphyromonas","Prevotella","Propionibacterium","Proteus","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pyramidobacter","Rhodococcus","Robinsoniella","Roseburia","Rothia","Ruminococcus","Saccharofermentans","Salmonella","Selenomonas","Shewanella","Slackia","Sneathia","Solobacterium","Sphingomonas","Sporanaerobacter","Sporobacter","Staphylococcus","Stenotrophomonas","Streptococcus","Subdoligranulum","Succinivibrio","Sutterella","TM7_genera_incertae_sedis","Tepidimicrobium","Tindallia","Tissierella","Turicibacter","Unassigned","Vampirovibrio","Varibaculum","Veillonella","Victivallis","Weissella","Zimmermannella"
"CNTRL20",49,0,6,13,0,37,393,0,109,22,17,0,0,2,3,25,1,1293,114,100,4,27,0,0,12,14,0,26,0,4,0,419,25,96,16,157,0,66,28,0,0,85,0,0,0,14,0,0,0,11,9,3,1,17,0,2,1,22,16,1706,0,0,20,0,5,0,58,0,0,114,0,0,0,0,1,5,0,1,0,2,57,0,1,0,7,0,0,14,0,0,0,0,0,2,0,0,0,0,0,114,2,0,841,10,3,85,0,1,3,12,0,0,0,0,0,11567,2,0,29,14,0,0,0,0,925,2,388,4,0,0,0,6,0,5,5,0,63,0,4,37,3,0,4,6,0,0,0,9,567,0,0,3,0,1,0
"CNTRL23",0,64,0,5,0,82,166,0,7,0,6,8,0,62,0,22,0,1300,17,50,37,131,0,0,18,9,0,12,0,0,36,819,48,77,79,305,0,183,112,0,0,230,67,35,13,7,0,0,0,256,0,75,57,0,13,0,4401,29,580,2090,0,0,0,0,0,0,307,8,0,901,0,0,19,24,33,6,0,0,160,0,32,0,0,3,14,0,0,0,0,6,0,0,0,17,0,0,0,0,0,0,5,7,427,15,0,153,0,30,15,0,0,0,90,461,0,383,0,3225,0,0,0,0,0,11,187,0,344,33,11,0,19,35,0,0,0,0,54,0,0,80,0,0,0,0,0,9,0,16,1323,0,0,0,0,0,0
"CNTRL300",28,0,0,1,0,1,1,0,9,0,1,0,10,42,8,73,0,30,1,9,0,66,0,0,2,6,2,11,0,6,0,41,4,3,1,264,9,3,7,0,0,49,0,0,2,13,19,434,0,31,0,0,3,4,0,3,4,3,70,492,0,0,4,0,0,0,11,1,0,125,0,0,0,0,2,2,1,1,0,0,0,0,1,0,3,7,0,6,1,0,0,74,4,1,2,0,0,0,0,0,6,35,136,0,2,7,1,1,0,0,2,0,0,21,12,14929,0,0,1,9,0,0,0,2,27,0,165,12,0,2,0,2,0,18,0,0,50,0,0,2,1,1360,5,0,0,1,0,2,467,23,0,1,7,0,0
"CNTRL48",0,0,21,326,14,14,0,0,0,292,0,0,0,16,0,60,40,166,9,619,0,1171,0,0,23,0,0,127,0,15,0,22,0,360,985,2858,0,24,0,0,0,47,181,0,3,0,0,0,0,392,193,0,123,0,0,0,51,0,25,507,0,169,0,0,0,279,792,0,95,19,602,0,0,0,14,0,0,0,0,0,88,0,3,10,172,0,0,0,0,0,22,0,0,37,0,118,0,0,0,9,4,4,17,0,0,20,0,3,0,40,0,300,0,420,0,301,94,4,140,0,0,0,16,12,86,71,230,0,0,0,0,0,0,21,0,0,8,41,0,5177,24,0,0,45,145,0,0,3,1622,0,0,0,0,4,0
"CNTRL52",9,0,5,4,6,3,69,16,135,0,71,0,9,9,0,0,0,450,18,936,0,158,0,0,23,5,0,4,0,0,2,238,43,8,56,840,0,35,184,0,5,390,26,0,2,5,0,39,10,199,16,0,0,8,0,0,3,26,59,7772,0,0,4,0,0,18,335,0,4,284,15,0,0,52,11,22,0,2,0,3,96,2,3,0,25,7,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,6,429,0,0,26,0,5,6,0,0,0,0,0,0,777,0,0,58,12,0,0,0,0,2806,8,1567,0,0,0,17,6,0,7,0,0,40,0,0,170,37,0,12,5,0,0,0,4,1182,0,0,0,0,0,0
"CNTRL82",0,0,60,52,3,6,3,0,191,0,0,0,14,241,0,165,0,42,0,81,6,297,0,0,27,0,0,142,0,770,12,122,15,493,0,373,15,170,58,0,0,84,0,3,16,18,0,117,0,299,0,9,177,34,0,3,12,4,99,139,0,0,11,0,0,5,30,14,0,4457,0,0,0,26,14,3,0,0,0,0,5,3,2,1,13,6,0,0,491,0,0,0,11,4,0,0,0,0,1,0,13,0,1409,2,9,5,5,4,0,0,72,0,0,540,0,557,0,0,4,35,14,0,0,11,92,5,4986,171,0,0,9,3,0,80,4,1,201,7,4,10,0,0,8,2,0,8,0,0,1872,0,0,0,0,0,0
"CNTRL89",13,0,0,43,145,3,15,0,0,0,4,0,0,256,0,0,0,94,6,1328,0,2384,0,0,63,0,0,6,0,1152,0,34,41,143,49,471,0,485,509,0,5,732,39,4,54,0,0,24,0,398,11,7,237,3,0,0,30,9,212,376,0,0,0,0,0,13,584,0,4,55,0,0,0,0,46,0,0,43,0,9,73,147,8,0,31,18,0,0,2,0,0,0,0,20,0,0,0,0,0,0,6,7,166,3,0,0,0,8,0,0,0,0,0,0,0,614,0,0,30,11,9,0,0,9,740,10,6895,0,0,0,0,21,0,0,0,0,37,5,0,263,10,0,12,0,0,0,0,53,643,0,0,0,0,0,0
"CNTRLA1",0,37,0,75,17,926,30,0,32,0,2,0,15,758,7,92,25,1580,63,203,0,561,0,0,29,0,0,12,0,43,0,95,42,826,53,958,22,3289,161,0,7,607,0,3,5,3,0,349,0,214,108,0,5,4,0,0,2,0,206,876,0,0,10,0,0,22,133,8,6,75,0,0,0,0,41,3,4,0,0,88,24,13,5,0,23,6,0,0,1250,0,11,0,0,24,0,34,0,0,0,10,4,3,98,0,4,10,0,14,0,17,0,0,0,12,0,1235,9,0,52,6,8,0,0,2,1406,30,1278,0,0,0,0,5,0,11,0,0,19,4,0,267,0,0,0,6,240,0,0,205,750,0,0,139,0,2,0
"CNTRLA10",4,0,7,52,83,11,57,0,5,0,0,23,0,352,5,39,7,257,7,414,5,5532,0,0,9,4,0,16,0,6,24,344,39,102,155,861,0,291,200,0,0,570,40,46,96,0,0,21,0,475,16,29,78,4,0,0,646,0,498,876,0,0,4,0,0,31,692,0,6,396,22,0,84,14,116,23,0,0,47,7,45,41,9,31,13,0,0,0,2,2,0,0,0,6,0,0,0,0,0,0,5,6,224,0,0,9,0,32,0,0,0,0,0,198,0,286,21,5,28,14,0,0,0,14,826,8,976,0,14,0,5,58,0,4,0,2,36,12,6,150,5,0,0,0,0,0,0,15,1078,0,0,0,0,0,0
"CNTRLA11",7,0,0,11,25,69,32,0,20,0,5,0,6,100,5,10,6,349,29,681,0,2439,0,0,60,0,0,38,0,25,2,321,55,478,22,968,60,251,167,0,0,531,33,0,72,8,10,458,0,415,7,11,11,10,0,0,85,13,203,2240,19,63,0,0,0,5,410,9,2,845,10,0,0,6,39,3,20,0,0,47,31,4,7,3,76,9,0,0,339,0,0,6,0,21,9,0,0,0,0,0,31,5,166,0,0,35,20,33,0,0,0,0,71,12,0,636,0,3,36,11,10,0,0,42,1632,5,2965,21,0,0,3,25,0,0,0,1,36,0,0,48,0,22,0,4,0,0,0,44,1714,0,0,6,0,0,0
