cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,min_cluster_size,min_samples_token,batch_size,init,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm,scheduler
0.01,3,256,1,14,leaky_relu,halve,0.2,100,0.0008535857699850789,0.38953888416290283,0.15025650776404623,2,0.8468992248062015,3,null,64,xavier_uniform,0.12908453166169145,1.0871526563782525e-06,1.9436237731553714,eom,0.7220103431660625,layernorm,cosine
0.05,8,512,2,32,leaky_relu,halve,0.4,100,1.8711657130877176e-05,1.1087466478347778,0.1460725425988762,2,0.877906976744186,9,null,128,xavier_normal,0.14264090376748323,2.8945481372830233e-05,1.3129509157919097,leaf,0.5846354200193252,batchnorm,none
0.05,23,256,3,25,leaky_relu,halve,0.0,100,0.0009069162657998616,0.5364790558815002,0.3823512778507124,2,0.814922480620155,10,null,128,xavier_normal,0.05368698395287086,8.247214139490427e-06,1.3303437817624137,eom,0.4364397859793623,layernorm,none
0.01,24,256,3,21,leaky_relu,halve,0.5,100,2.2668687228651397e-05,0.4517378807067871,0.15049050159525582,2,0.8691860465116279,3,null,128,xavier_normal,0.02309710218764681,4.084454409528417e-06,1.2935001288711088,eom,0.7705134629629108,layernorm,cosine
0.01,25,256,3,20,leaky_relu,halve,0.0,100,2.929954678457376e-05,0.2467624694108963,0.4117584768878896,2,0.1501937984496124,3,null,64,xavier_normal,0.0300199972784599,7.14776575081519e-06,1.3312848533207027,eom,0.7601319930729692,layernorm,cosine
0.01,18,256,4,8,leaky_relu,halve,0.0,100,0.0008960067617782081,0.21931977570056915,0.37542247015195623,6,0.4738372093023256,3,null,32,xavier_normal,0.012584749303084175,8.72570025083811e-06,1.1290644149159457,eom,0.7917863160385414,layernorm,cosine
0.005,22,256,3,24,leaky_relu,halve,0.0,100,0.0008334256134347475,0.21291965246200562,0.397858882880082,2,0.9437984496124031,4,null,128,xavier_normal,0.01620730964557049,5.784542167339254e-06,0.9780803872936518,eom,0.4288782615484364,layernorm,none
0.01,29,256,3,18,leaky_relu,halve,0.5,100,1.8804027568670093e-05,0.620143711566925,0.16768335600228,3,0.8934108527131783,3,null,128,xavier_normal,0.12293744144040689,3.341052801697913e-07,1.3658334233782854,eom,0.6973129635013855,layernorm,cosine
0.01,28,256,3,19,leaky_relu,halve,0.5,100,1.898063711488138e-05,0.4291580617427826,0.19603071211384385,2,0.8556201550387597,3,null,128,xavier_normal,0.013487795357974952,6.483934577472001e-06,1.195690620567498,eom,0.7021249658521433,layernorm,cosine
0.05,34,256,2,30,leaky_relu,halve,0.4,100,0.00011081676567199529,0.9694045186042786,0.2559940242126687,2,0.939922480620155,8,5,128,xavier_normal,0.08644652131620661,2.3142561160271297e-06,0.8263976053080229,eom,0.5440401215961378,batchnorm,cosine
0.01,30,256,3,20,leaky_relu,halve,0.5,100,1.9918456495776616e-05,0.4944590926170349,0.1304083272566726,3,0.8546511627906976,3,null,128,xavier_normal,0.10991546039447588,3.4417505024771144e-07,0.9386254312779017,eom,0.727681094812478,layernorm,cosine
0.01,42,256,2,44,gelu,halve,0.5,100,1.550514983514671e-05,0.6149135828018188,0.13593978759377517,2,0.8333333333333334,4,null,128,xavier_uniform,0.13907867407562707,1.3961738415712206e-07,1.2370006875922988,eom,0.5734138862746361,layernorm,cosine
0.01,59,256,3,40,leaky_relu,halve,0.5,100,1.8051007708216285e-05,0.5998070240020752,0.1269001364799233,2,0.8507751937984496,3,null,128,xavier_normal,0.12166239570301149,2.6697960357134163e-07,1.3252828950654785,eom,0.7670494705021893,layernorm,cosine
0.05,61,256,2,40,leaky_relu,halve,0.5,100,1.7412522335364488e-05,1.2609610557556152,0.21702098673652212,2,0.7548449612403101,3,null,128,xavier_normal,0.04121080324606176,2.0249947684290755e-07,1.3070134623736538,eom,0.7718294093024183,layernorm,cosine
0.01,58,256,3,17,leaky_relu,halve,0.5,100,1.7482420952106973e-05,0.5327919125556946,0.1263197078556994,3,0.8459302325581395,3,null,128,xavier_normal,0.12172763030143788,2.6760769176062874e-07,1.3163518456406358,eom,0.704810198705081,layernorm,cosine
0.01,62,256,3,17,leaky_relu,halve,0.5,100,3.2575089858116023e-05,0.5355271100997925,0.07657115867816293,2,0.7693798449612403,3,null,128,xavier_normal,0.21124345919302928,1.6849642630860291e-06,1.9158587291678275,eom,0.7681438450716163,layernorm,cosine
0.005,21,256,3,23,leaky_relu,halve,0.4,100,0.000880607838959129,0.624874472618103,0.1680349887126256,2,0.014534883720930232,4,null,32,xavier_normal,0.010176117868743118,8.463543826624937e-06,0.9987845127461527,eom,0.4334005539913636,batchnorm,none
0.01,63,256,3,11,leaky_relu,halve,0.1,100,1.2769908205340883e-05,0.36014115810394287,0.17487103396721376,4,0.9147286821705426,4,null,128,xavier_normal,0.2052988892517833,5.619023943121823e-08,1.1988397785623834,eom,0.6332788585430367,layernorm,none
0.01,64,256,3,18,leaky_relu,halve,0.5,100,3.135250643403134e-05,0.4474131464958191,0.11484982139961472,2,0.8653100775193798,4,null,128,xavier_normal,0.20198660325805287,1.7205771223924721e-07,1.1659975414033117,eom,0.6190759276478053,layernorm,none
0.005,19,256,4,25,leaky_relu,halve,0.0,100,0.0008836535140672361,0.1567934900522232,0.1623075591634875,2,0.8662790697674418,3,null,32,xavier_normal,0.031975588495090385,1.0056646332563736e-05,1.1466005694706802,eom,0.77530588041585,layernorm,cosine
0.005,20,256,4,26,leaky_relu,halve,0.1,100,0.0009973374600729752,0.3874645531177521,0.09804756976415714,2,0.7044573643410853,3,null,32,xavier_normal,0.07196714612475101,7.289611093273056e-06,0.8451127015241701,eom,0.7929698067056363,batchnorm,cosine
0.005,17,768,4,24,leaky_relu,halve,0.0,100,2.5196360309961457e-05,0.21488197147846222,0.09951676508071068,3,0.9118217054263565,12,5,32,xavier_normal,0.043813333567908175,2.9748245283048842e-08,1.1358305831593478,leaf,0.43790863230920285,batchnorm,none
0.05,78,256,4,29,leaky_relu,halve,0.1,100,0.0005376630217809427,0.5704213380813599,0.2739935055333354,2,0.6627906976744186,3,null,32,xavier_normal,0.09851967916474182,7.520572719332399e-05,0.8681361379376046,eom,0.6905546816718084,batchnorm,cosine
0.005,85,768,4,19,leaky_relu,double,0.0,100,4.4644057423948044e-05,0.1953015923500061,0.12944272111948152,5,0.8963178294573644,14,5,32,xavier_normal,0.037295101129535,1.8945593942674285e-08,0.8464196519215986,leaf,0.3764448420676919,batchnorm,cosine
0.005,86,768,4,19,leaky_relu,double,0.0,100,6.374892834453048e-05,0.2137291431427002,0.06767476270890574,6,0.8187984496124031,13,5,32,xavier_normal,0.028209319094144494,2.0706495159878868e-08,0.7811300805221106,leaf,0.37566662767801506,batchnorm,cosine
0.005,88,768,4,19,leaky_relu,double,0.0,100,5.994363132400828e-05,0.21239744126796722,0.08020086656695519,3,0.9331395348837209,14,5,32,xavier_normal,0.040328026313401086,1.5715197913756828e-08,0.7452833204742614,leaf,0.3515719430016183,batchnorm,cosine
0.005,90,768,4,25,leaky_relu,double,0.0,100,6.110791141275393e-05,0.18076524138450623,0.27868482733387995,2,0.9205426356589147,14,5,32,xavier_normal,0.04932180591959,1.635594451506658e-08,0.7136550489420118,leaf,0.3520786727786831,batchnorm,cosine
0.005,91,768,4,22,leaky_relu,double,0.0,100,4.629486074478873e-05,0.2115526795387268,0.20365883440690402,6,0.8352713178294574,13,5,32,xavier_normal,0.02418676064336359,1.7337321083498276e-08,0.8322686695071344,leaf,0.2773253928485191,batchnorm,cosine
0.005,95,768,4,16,leaky_relu,double,0.0,80,8.901272492751872e-05,0.21554496884346008,0.14391202436162404,7,0.7131782945736435,15,5,32,xavier_normal,0.018489560481431182,4.2677500956027035e-08,0.6180256530124583,leaf,0.45396952841796384,batchnorm,cosine
0.005,96,768,4,24,leaky_relu,double,0.0,100,5.612826034275714e-05,0.18380104005336761,0.30679764805820536,2,0.9098837209302325,12,5,32,xavier_normal,0.059241805378810825,2.1433748303894012e-08,0.7976161882353904,leaf,0.362876645074404,batchnorm,cosine
0.1,100,768,4,20,leaky_relu,double,0.1,100,0.00011988094524698788,1.0222060680389404,0.18378314712474292,2,0.9156976744186046,15,5,32,xavier_normal,0.16571145553604183,4.153910751375581e-06,0.7055550412445137,leaf,0.7932697586151125,batchnorm,cosine
