cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,min_cluster_size,min_samples_token,batch_size,init,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm,scheduler
0.01,47,512,3,24,gelu,halve,0.0,80,0.0001248104982907,0.2822136580944061,0.3237061265953515,3,0.6773255813953488,13,10.0,64,kaiming_uniform,0.0514062966286507,9.09560787678485e-06,0.8853351187142803,eom,0.5791306888425971,layernorm,none
0.07,53,256,2,45,relu,halve,0.4,150,0.0004334402681047,0.773181676864624,0.2740355735401393,2,0.748062015503876,4,5.0,64,kaiming_uniform,0.1292807487699604,1.7146444227509057e-07,1.1985813567674093,eom,0.5293893445317513,layernorm,none
0.07,55,256,2,45,relu,halve,0.4,150,0.0008303148442854,0.7131485939025879,0.2909756633010453,2,0.5232558139534884,3,5.0,64,kaiming_uniform,0.0951549822941437,1.762532396126573e-07,1.170266056550604,eom,0.5127257724090033,layernorm,none
0.07,56,256,2,41,relu,halve,0.4,150,0.0006486588742825,0.756733775138855,0.2113601984419766,2,0.8468992248062015,3,5.0,64,kaiming_uniform,0.301352654785055,2.686797435979953e-07,1.1703840929764049,eom,0.5227985923420811,layernorm,none
0.07,62,256,2,58,relu,constant,0.5,150,0.0004485713884769,0.9303336143493652,0.1956784698099483,2,0.9137596899224806,5,5.0,64,kaiming_uniform,0.2020551032141783,5.569617580410801e-07,1.6223796157298445,eom,0.7607642901911358,layernorm,none
0.005,64,256,2,56,relu,constant,0.3,150,0.0003894677892444,0.1949785053730011,0.3202459876039502,3,0.9408914728682172,5,5.0,64,xavier_uniform,0.1901289084369535,5.632952042547979e-08,1.5918986380197064,eom,0.7372909832545094,layernorm,none
0.07,67,256,2,64,relu,constant,0.5,150,0.0002258605584027,0.8882533311843872,0.1914685268188623,2,0.9001937984496124,4,5.0,64,kaiming_uniform,0.2412329142287929,9.24055707131804e-07,1.694808198196287,eom,0.6946173612393706,layernorm,none
0.005,66,256,2,52,relu,constant,0.5,150,0.0004066445806166,0.2617947459220886,0.2101244887142591,2,0.9312015503875968,4,5.0,64,kaiming_uniform,0.1691590321775566,2.7183680100834933e-07,1.7792507874456396,eom,0.7362097281184408,layernorm,none
0.03,83,768,2,54,leaky_relu,double,0.5,100,5.179083003561784e-05,0.8214616179466248,0.1850489116140257,4,0.9176356589147286,7,5.0,128,xavier_uniform,0.0847836740834059,1.030707364742226e-06,1.489976690895872,leaf,0.6046644260769046,batchnorm,none
0.03,85,768,2,54,leaky_relu,double,0.5,100,5.55575088190227e-05,0.7945077419281006,0.1255416753776434,5,0.8672480620155039,7,5.0,128,xavier_uniform,0.0773326413344873,3.2499791430859413e-06,0.7764448434208473,leaf,0.6038488583362306,batchnorm,none
0.03,86,768,2,53,leaky_relu,double,0.5,100,7.310382446015867e-05,0.5896085500717163,0.1602550688755461,4,0.8449612403100775,7,5.0,128,xavier_uniform,0.0979373209057288,3.401402260129462e-06,1.6608334482460532,leaf,0.6030187557470822,batchnorm,none
0.03,87,768,2,53,leaky_relu,double,0.5,100,8.35695350290509e-05,0.7776200771331787,0.1290706512514587,5,0.9001937984496124,7,5.0,128,xavier_uniform,0.0912395684779697,3.505857514410377e-06,0.7998493588463357,leaf,0.4782698505080319,batchnorm,none
0.03,88,768,2,55,leaky_relu,double,0.5,100,7.311146195033763e-05,0.6422758102416992,0.1649456671488604,4,0.8837209302325582,7,5.0,128,xavier_uniform,0.0760855273850915,3.26695360520584e-06,1.6711235867493943,leaf,0.5969612473095528,batchnorm,none
0.03,89,768,2,55,leaky_relu,double,0.5,100,7.071752201224932e-05,0.6453264355659485,0.2680864450594131,4,0.9098837209302324,7,5.0,128,xavier_uniform,0.077125829265415,3.7434399901169626e-06,0.7722088403561925,leaf,0.605357175848177,batchnorm,none
0.03,90,768,2,54,leaky_relu,double,0.5,100,7.614577313300876e-05,0.5610235929489136,0.2178543131868792,4,0.9166666666666666,7,5.0,128,xavier_uniform,0.0783806956324248,3.320675596939108e-06,0.8134229211337591,leaf,0.477903615906552,batchnorm,none
0.03,91,768,2,55,leaky_relu,double,0.5,100,4.520567095833366e-05,0.7609501481056213,0.1978417381327548,4,0.8691860465116279,9,5.0,128,xavier_uniform,0.0628191782528047,3.198969751046777e-06,0.8077726730230681,leaf,0.6067929550291151,batchnorm,none
0.03,92,768,2,55,leaky_relu,double,0.5,100,7.530166806996964e-05,0.7141743898391724,0.1821066786269898,4,0.9089147286821704,9,5.0,128,xavier_uniform,0.0706265508479129,3.138457904749067e-06,0.7748007682667963,leaf,0.6043647972677572,batchnorm,none
0.03,93,768,2,48,leaky_relu,double,0.5,100,4.8019299240135785e-05,0.6788299679756165,0.1969536482524634,4,0.8410852713178295,9,5.0,128,xavier_uniform,0.0597884994695491,3.3356599054083684e-06,1.3031672365926077,leaf,0.5539638258116367,batchnorm,none
0.03,94,768,2,37,leaky_relu,double,0.5,100,4.8090880195831255e-05,0.6327275633811951,0.2449623951669714,5,0.9156976744186046,9,5.0,128,xavier_uniform,0.0450792533496579,6.662251173241662e-06,0.656989666403934,leaf,0.5491545691626651,batchnorm,none
0.03,95,768,2,50,leaky_relu,double,0.5,100,6.139946518986182e-05,0.8459357023239136,0.1880023067563483,3,0.9147286821705426,6,5.0,128,xavier_uniform,0.1361689118311777,6.247939746837588e-06,1.667235929570007,leaf,0.5568789990578086,batchnorm,none
0.03,96,768,2,49,leaky_relu,double,0.5,100,6.0050941244670586e-05,0.706636369228363,0.1132738199518323,9,0.7422480620155039,9,5.0,128,xavier_uniform,0.014552054474584,6.091634781329248e-06,0.6550246271092292,leaf,0.55440451516824,batchnorm,none
0.03,97,768,2,49,leaky_relu,double,0.5,100,0.0001069734818329,0.6010454893112183,0.0894926595278357,8,0.8062015503875969,12,5.0,128,xavier_uniform,0.0337342575605128,1.3035621290914787e-05,1.4536648550550888,leaf,0.6345125546232729,batchnorm,none
0.03,99,768,2,50,leaky_relu,double,0.5,100,8.448968217228815e-05,0.6756554841995239,0.2765988028020171,3,0.8701550387596899,8,5.0,128,xavier_uniform,0.1484147310976104,1.4937768283648146e-06,1.4622574222478772,leaf,0.5944075119247405,batchnorm,none
0.03,98,768,2,49,leaky_relu,double,0.5,100,6.005296528386862e-05,0.6472563147544861,0.1661341285977111,9,0.7422480620155039,10,5.0,128,xavier_uniform,0.0156803483872492,1.1814840409631893e-05,0.6477975460556107,leaf,0.6335087961591914,batchnorm,none
0.03,100,768,2,46,leaky_relu,double,0.5,100,0.0001104878616808,0.6642244458198547,0.1266745711104703,9,0.8081395348837209,8,5.0,128,xavier_uniform,0.0148087169302114,1.2944332897784222e-05,0.7557896123939591,leaf,0.5869124916591519,batchnorm,none
0.03,101,768,2,47,leaky_relu,double,0.5,100,8.493101370674096e-05,0.5875217914581299,0.0675637810255768,7,0.8391472868217055,12,5.0,128,xavier_uniform,0.0265820917022215,1.3411312406186387e-05,0.6521184150809467,leaf,0.641956337282923,batchnorm,none
0.03,102,768,2,46,leaky_relu,double,0.5,100,0.0001053124686346,0.5243748426437378,0.2959294463486389,4,0.6773255813953488,12,,128,xavier_uniform,0.0201578929019527,1.3560033479602827e-05,0.5132561797198087,leaf,0.6530779959364492,batchnorm,none
0.03,104,768,2,47,leaky_relu,double,0.5,100,6.388887085565167e-05,0.699213981628418,0.2048586830674135,5,0.7936046511627907,14,5.0,128,xavier_uniform,0.030822727697648,3.506760168001557e-05,0.509398247146452,leaf,0.4344738377835677,batchnorm,none
0.03,105,768,2,43,leaky_relu,double,0.5,100,0.0001089288978496,0.5892469882965088,0.0650106646951059,8,0.8488372093023255,10,5.0,128,xavier_uniform,0.0393247981442438,3.057142801433524e-05,0.6503620804050664,leaf,0.6416065974257795,batchnorm,none
0.03,106,768,2,43,leaky_relu,double,0.5,100,0.000107631865587,0.5657577514648438,0.1021003315828214,5,0.8527131782945736,12,5.0,128,xavier_uniform,0.038095966597583,3.432884789084972e-05,0.7408557470852959,leaf,0.6468204366540711,batchnorm,none
0.03,107,768,2,44,leaky_relu,double,0.5,100,8.751501167695697e-05,0.6537805199623108,0.1281460864853111,6,0.8255813953488372,14,5.0,128,xavier_uniform,0.04375986043759,2.82948536076622e-05,0.6300582438436086,leaf,0.5722882847117811,batchnorm,none
0.03,108,768,2,42,leaky_relu,double,0.5,100,8.922215948419735e-05,0.6010962128639221,0.0544765831633725,8,0.8207364341085271,11,5.0,128,xavier_uniform,0.0392978783691841,2.9910804109242052e-05,0.6497241418390078,leaf,0.5292706127025111,batchnorm,none
0.03,109,768,2,44,leaky_relu,double,0.5,100,8.810343832461081e-05,0.7142581343650818,0.1706097310386241,6,0.8536821705426356,11,5.0,128,xavier_uniform,0.0426256033388901,3.434188151158912e-05,0.7411236312170214,leaf,0.5334028565597534,batchnorm,none
0.03,110,768,2,43,leaky_relu,double,0.5,100,0.0001569996458016,0.6093097925186157,0.0315809307259535,9,0.8255813953488372,11,5.0,128,xavier_uniform,0.0407853567456317,3.2789578086700986e-05,0.7533580635545971,leaf,0.6674812618335939,batchnorm,none
0.03,111,768,2,38,leaky_relu,double,0.0,100,0.0001537605979248,0.5577786564826965,0.1140863547679905,7,0.7906976744186046,11,5.0,128,xavier_uniform,0.0406444665178377,4.047148821662538e-05,0.6286166943484831,leaf,0.5329415146380324,batchnorm,none
0.03,112,768,2,37,leaky_relu,double,0.0,100,0.0001423059433036,0.5743848085403442,0.0629881240098712,12,0.7044573643410853,11,5.0,128,xavier_uniform,0.0417015909577295,2.005160251562789e-05,0.6935621790883921,leaf,0.5348398317391663,batchnorm,none
0.03,113,768,2,38,leaky_relu,double,0.1,100,0.0001717309105108,0.6008701324462891,0.1575859929334999,3,0.7829457364341085,12,5.0,128,xavier_uniform,0.115785907918701,5.7496415917474736e-05,0.6747630294809449,leaf,0.6661021889443405,batchnorm,none
0.03,114,768,2,38,gelu,double,0.0,100,0.0001411001249997,0.603253185749054,0.1370345382557359,4,0.9089147286821704,12,5.0,128,xavier_uniform,0.1123395038406721,0.0001428357857529,0.6898877070824481,leaf,0.6656466377391186,batchnorm,none
0.03,115,768,2,38,leaky_relu,double,0.0,100,0.0001653184125814,0.5102197527885437,0.1277503638753865,4,0.8052325581395349,12,5.0,128,xavier_uniform,0.1150565488170501,0.0001177409840635,0.6949983392848135,leaf,0.6714341322326716,batchnorm,none
0.03,116,768,2,38,leaky_relu,double,0.0,100,0.000165890900496,0.4612816870212555,0.1114178432422407,7,0.8362403100775194,12,5.0,128,xavier_uniform,0.0408948472469196,5.563323504653674e-05,0.6880808948573442,leaf,0.672815342683684,batchnorm,none
0.03,117,768,2,42,leaky_relu,double,0.0,100,0.0001515894714615,0.495264858007431,0.113608094126837,9,0.8013565891472868,11,5.0,128,xavier_uniform,0.0413698600274266,0.0001824316829068,0.6890933442490355,leaf,0.6446073744425057,batchnorm,none
0.03,118,768,2,41,leaky_relu,double,0.0,100,0.0001576038922586,0.5390523672103882,0.1885682425487276,8,0.7790697674418605,11,5.0,128,xavier_uniform,0.0385925103553735,2.0256118340178484e-05,0.6201809513458374,leaf,0.6399903974075063,batchnorm,none
0.03,120,512,2,30,leaky_relu,double,0.0,100,0.0001220830754084,0.5633002519607544,0.191008898323932,5,0.7461240310077519,13,10.0,128,xavier_uniform,0.053703257947773,2.081627157075572e-05,0.8545063333874061,leaf,0.6337568160201148,batchnorm,none
