cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,min_cluster_size,min_samples_token,batch_size,init,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm,scheduler
0.05,17,512,2,50,leaky_relu,halve,0.3,80,2.1141503548140613e-05,20.662517547607422,0.16264973550162296,2,0.9188034188034188,19,5,128,xavier_uniform,0.21760894841592313,0.00011320339056572903,1.6224974934423475,eom,0.5072025017568176,batchnorm,none
0.1,33,256,1,17,leaky_relu,halve,0.4,80,2.9815957745652146e-05,6.073913097381592,0.2136080508268471,2,0.9497863247863247,12,5,64,xavier_normal,0.3027050256911325,0.00018715749597564407,1.9166279710391585,leaf,0.3078346283707666,batchnorm,cosine
0.03,45,768,4,53,gelu,constant,0.1,150,0.000359086317815087,0.8065223097801208,0.16947398875363803,5,0.7649572649572649,11,5,128,kaiming_uniform,0.08035248793985583,8.78832013965002e-05,1.2592632318160435,leaf,0.2857461327310351,layernorm,cosine
0.03,49,768,4,53,gelu,constant,0.1,150,0.0005710027296340066,0.7525405883789062,0.09627763152489217,6,0.8685897435897436,13,5,128,kaiming_uniform,0.088638382899105,4.304485803824187e-05,1.5048191145611776,leaf,0.2118140777394206,layernorm,cosine
0.03,50,768,4,61,gelu,constant,0.1,150,0.00018320257310560238,0.814498245716095,0.10437590066848544,4,0.8151709401709402,11,5,128,kaiming_uniform,0.06533824101110558,0.00047448559457236646,1.103268998862548,leaf,0.20727994913230255,layernorm,cosine
0.03,52,768,4,48,gelu,constant,0.1,150,0.0005165909100199442,0.6301617622375488,0.2253268101364055,4,0.7585470085470085,13,5,128,xavier_uniform,0.04601112264092566,4.065286266358145e-05,1.5397368859999465,leaf,0.20566726810082753,layernorm,cosine
0.03,54,768,4,47,gelu,constant,0.1,150,0.00039481570609260145,0.7417028546333313,0.09990219628445415,6,0.8589743589743589,10,5,128,kaiming_uniform,0.07100008847175715,0.000408042245824724,1.0845162303434317,leaf,0.2040942624005887,layernorm,cosine
0.03,53,768,4,61,gelu,constant,0.1,150,0.0005046109617741244,0.7165892720222473,0.15616805227585515,6,0.8504273504273504,13,5,128,kaiming_uniform,0.060749881145349904,0.00040912238395992835,1.0726018416427647,leaf,0.21349974795810842,layernorm,cosine
0.03,55,768,4,60,gelu,constant,0.1,150,0.0005209907275480239,0.7291195392608643,0.20012110806075503,6,0.8899572649572649,8,5,128,kaiming_uniform,0.060271412327103674,0.00046567534572181595,1.081818838502195,leaf,0.2085939830022836,layernorm,cosine
0.03,56,768,4,47,gelu,constant,0.1,150,0.00038629689653589923,0.7277721762657166,0.1931265251847678,6,0.8044871794871795,13,5,128,kaiming_uniform,0.05495991261571768,0.0004132213513174514,1.4917004025656653,leaf,0.2024836279824726,layernorm,cosine
0.03,57,768,4,59,gelu,constant,0.1,150,0.00037364995935627903,0.7335565090179443,0.16119669431039416,4,0.9294871794871795,8,5,128,kaiming_uniform,0.0781494050711374,0.0003531986572445395,1.0133601158010208,leaf,0.20004842043411764,layernorm,cosine
