cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm
0.1,5,256,2,39,relu,constant,0.2,80,0.0005421814280975645,0.9196290373802185,0.0886448798214633,6,0.6841085271317829,0.022210727057805267,0.00011234842109991873,1.869860828834707,leaf,0.5068054393165627,layernorm
0.05,21,512,2,54,leaky_relu,double,0.2,100,4.3301653096864374e-05,0.701924741268158,0.058288813104999476,5,0.872093023255814,0.02117926329238355,1.3749669040181036e-08,0.95469688612788,leaf,0.6703230468393844,layernorm
0.05,22,512,2,56,leaky_relu,double,0.2,100,1.8023142197396632e-05,0.8049366474151611,0.3506532281224153,2,0.6705426356589147,0.01699652112646278,7.548927165431246e-08,1.0466489199706728,leaf,0.45521337432866843,layernorm
0.05,23,512,2,58,leaky_relu,double,0.2,100,4.3062301543039184e-05,0.5331537127494812,0.3756349443023468,3,0.3905038759689923,0.0109738241338454,7.471854019371276e-08,0.9008657871229767,leaf,0.6876972217491054,layernorm
0.05,25,512,2,50,leaky_relu,double,0.2,100,5.113275034044081e-05,0.8033069968223572,0.23490926873638798,2,0.937015503875969,0.1112085082649027,0.00018317667688741757,0.8383663626057961,leaf,0.7924123692337168,layernorm
0.05,28,512,3,39,leaky_relu,double,0.2,100,9.483700713717655e-05,0.6007735729217529,0.3549790860586331,2,0.8459302325581395,0.0923949459588567,0.00017053386699053677,0.9244269317877855,leaf,0.7954848846952401,layernorm
0.005,30,512,2,40,relu,double,0.3,100,0.00021778264254078858,0.18782207369804382,0.2065279483592509,3,0.9011627906976745,0.06014352358829617,5.8397343668423596e-06,0.5389387212437615,leaf,0.6769560509310528,layernorm
0.005,31,512,2,33,relu,double,0.3,100,0.0002056727659555096,0.2662871479988098,0.27023966735509236,2,0.8071705426356589,0.06133633943417874,2.9836149397858258e-05,0.5097842785209015,leaf,0.6718236357822193,layernorm
0.005,32,512,2,42,relu,double,0.3,100,0.00042293752160220025,0.21003380417823792,0.2661837812081772,2,0.7655038759689923,0.07200370336567662,2.7091655300382807e-06,0.6169888036519151,leaf,0.7246140502743985,layernorm
0.07,40,512,2,59,leaky_relu,double,0.0,100,0.000111734914597239,0.5983723998069763,0.34445784077496044,2,0.4641472868217054,0.05696086259464447,4.283000799753097e-07,0.8512314381859905,leaf,0.7057205645644424,layernorm
0.005,41,512,2,42,relu,double,0.3,100,0.0003700496803184071,0.21052029728889465,0.15918456785310858,3,0.9302325581395349,0.08288653511163682,1.2475247552171234e-06,0.6159093324584456,leaf,0.7231123523825146,layernorm
0.005,42,512,2,43,relu,double,0.3,100,0.0005397422193796688,0.16057392954826355,0.0573915479949522,11,0.6637596899224806,0.013181006354134413,1.4722762090006692e-06,0.5869024155868667,leaf,0.7789956131208207,layernorm
0.005,43,512,2,41,relu,double,0.3,100,0.0003743274123711254,0.16300533711910248,0.03930764249971229,9,0.686046511627907,0.01715480169337846,1.675212537727183e-06,0.6023677005481503,leaf,0.6450892094288365,layernorm
0.005,44,512,2,43,relu,double,0.3,100,0.0005357583471901965,0.1541236937046051,0.05834409015628713,9,0.6782945736434108,0.013778723962978088,1.3042663531207945e-06,0.6099835874767557,leaf,0.6356609995249737,layernorm
0.005,45,512,2,45,relu,halve,0.3,100,0.00064878522815192,0.15536265075206757,0.053038916536134094,12,0.7315891472868217,0.013916655804083819,1.4203952937831397e-06,0.720789410540107,leaf,0.6302768233313318,none
0.005,46,512,1,44,relu,halve,0.3,100,0.0006791472420283038,0.18518103659152985,0.09850434326133703,6,0.812984496124031,0.012715089401108156,1.077241497555293e-06,0.7321272664256003,leaf,0.6382830425512734,none
0.005,47,512,2,55,relu,halve,0.3,100,0.000555441325725972,0.2132769078016281,0.18870421157683778,4,0.7916666666666666,0.038700513644322365,1.8326847403463166e-06,0.672552370325544,eom,0.6060630888835802,none
0.005,49,512,2,44,relu,halve,0.3,100,0.00028425006779440583,0.1701958030462265,0.00997607034696473,5,0.8275193798449613,0.012462943174630597,4.519288946469621e-07,0.7539548608049848,leaf,0.551395686942502,none
0.005,52,512,2,47,relu,halve,0.3,100,0.0003772457884152813,0.20239219069480896,0.039961170608617744,15,0.5765503875968992,0.013253861966311217,2.244478647690449e-08,0.6510307550279947,leaf,0.5992243424576217,none
