cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,min_cluster_size,min_samples_token,batch_size,init,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm,scheduler
0.01,872,512,2,22,relu,halve,0.2,150,0.0008286206718244579,0.26968711614608765,0.053978953814338954,16,0.7306201550387597,4,null,64,kaiming_uniform,0.03772792041681783,8.944158212514194e-08,1.0253159916736323,leaf,0.47332952392907585,none,cosine
0.01,869,512,2,18,relu,halve,0.2,150,0.000828380292635026,0.19522814452648163,0.0011223731572675235,22,0.6472868217054264,4,null,64,kaiming_uniform,0.010416454064083725,8.970430179869789e-08,1.01853850379464,leaf,0.46798355013396237,layernorm,cosine
0.01,870,512,2,8,relu,halve,0.2,150,0.0008419444386680828,0.28668347001075745,0.03496757831104491,25,0.75,4,null,64,kaiming_uniform,0.037387050785786344,9.188771138939568e-08,1.0238001260934002,leaf,0.7044343202134905,none,cosine
0.01,875,512,2,20,gelu,halve,0.2,150,0.0009048861371426094,0.2679341733455658,0.030093757964632067,26,0.8003875968992248,3,null,64,xavier_uniform,0.03560996950149823,7.767948609930509e-08,1.0693442739119776,leaf,0.5009978661285596,layernorm,none
0.01,874,512,2,17,gelu,halve,0.2,150,0.0009197981859319644,0.2397625744342804,0.0020712244773852043,28,0.7693798449612403,3,null,64,xavier_uniform,0.023600265397062066,1.525617762717823e-07,1.0662780136895866,leaf,0.44923858318029136,layernorm,none
0.01,876,512,2,20,gelu,halve,0.2,150,0.0008960242454283821,0.2107444703578949,0.002920100162977646,33,0.7151162790697675,3,null,32,xavier_uniform,0.023918715358011704,8.305288421837494e-08,1.068156257769396,leaf,0.5039534296013549,layernorm,cosine
0.01,880,512,2,15,relu,halve,0.5,150,0.0007432182844884525,0.3353877067565918,0.18046876152237964,5,0.9331395348837209,3,20,64,kaiming_uniform,0.05504450783501816,6.822586196065628e-08,1.1209009413396205,leaf,0.4679003433345309,layernorm,cosine
0.01,877,512,2,20,gelu,halve,0.5,150,0.000918991207839696,0.22573912143707275,0.058158039465294555,7,0.811046511627907,3,20,32,kaiming_uniform,0.023824978219510313,6.561291548895958e-08,1.0762071281945473,leaf,0.49884822532276196,layernorm,cosine
0.01,878,512,2,17,gelu,halve,0.5,150,0.0009187392348924368,0.2411579191684723,0.0029491538535981743,12,0.7926356589147286,3,20,32,kaiming_uniform,0.010114341917979866,6.588175770314006e-08,1.039671178588916,leaf,0.6794329729119621,layernorm,cosine
0.01,879,512,2,20,gelu,halve,0.5,150,0.0007719568413787245,0.24228690564632416,0.023893592816027428,6,0.9089147286821705,3,20,32,kaiming_uniform,0.04963854691479841,6.923684098286808e-08,1.1329697001706223,leaf,0.48034214432046246,layernorm,cosine
