"","Abiotrophia","Acetanaerobacterium","Acetitomaculum","Acetivibrio","Acetobacter","Acidaminococcus","Acinetobacter","Actinomyces","Adlercreutzia","Aeromonas","Akkermansia","Alcaligenes","Alistipes","Alkalibaculum","Alkaliphilus","Allisonella","Allobaculum","Anaerococcus","Anaerofilum","Anaeroplasma","Anaerorhabdus","Anaerosporobacter","Anaerostipes","Anaerotruncus","Anaerovorax","Arcanobacterium","Arthrobacter","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevibacterium","Brevundimonas","Bulleidia","Burkholderia","Butyricicoccus","Butyricimonas","Caldimonas","Caloramator","Campylobacter","Catenibacterium","Chryseobacterium","Citrobacter","Clostridium_III","Clostridium_IV","Clostridium_XI","Clostridium_XVIII","Clostridium_XlVa","Clostridium_XlVb","Clostridium_sensu_stricto","Collinsella","Comamonas","Coprobacillus","Coprococcus","Corynebacterium","Cronobacter","Dehalobacter","Denitrobacterium","Dermabacter","Desulfosporosinus","Desulfotomaculum","Desulfovibrio","Dialister","Dietzia","Dorea","Eggerthella","Elusimicrobium","Enterobacter","Enterococcus","Enterorhabdus","Eremococcus","Erwinia","Erysipelothrix","EscherichiaShigella","Ethanoligenens","Eubacterium","Facklamia","Faecalibacterium","Filifactor","Finegoldia","Flavobacterium","Flavonifractor","Fusobacterium","Gallicola","Gardnerella","Gemella","Gemmiger","Geosporobacter","Gordonibacter","Gracilibacter","Granulicatella","Haemophilus","Hafnia","Halomonas","Hespellia","Holdemania","Howardella","Hydrogenoanaerobacterium","Janthinobacterium","Klebsiella","Kluyvera","Lachnobacterium","Lactobacillus","Lactococcus","Lactonifactor","Leuconostoc","Lutispora","Marvinbryantia","Megamonas","Megasphaera","Methanobrevibacter","Methylobacterium","Micrococcus","Mitsuokella","Mobiluncus","Mogibacterium","Morganella","Moryella","Murdochiella","Mycoplasma","Natronincola","Negativicoccus","Neisseria","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oxalobacter","Paenibacillus","Pantoea","Papillibacter","Parabacteroides","Paracoccus","Paraeggerthella","Paraprevotella","Parasporobacterium","Parasutterella","Parvimonas","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phyllobacterium","Porphyromonas","Prevotella","Propionibacterium","Proteus","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pyramidobacter","Rhodococcus","Robinsoniella","Roseburia","Rothia","Ruminococcus","Saccharofermentans","Salmonella","Sarcina","Selenomonas","Serratia","Shewanella","Shimwellia","Slackia","Sneathia","Solibacillus","Solobacterium","Sphingomonas","Spiroplasma","Sporanaerobacter","Sporobacter","Staphylococcus","Stenotrophomonas","Streptobacillus","Streptococcus","Subdoligranulum","Succinivibrio","Sutterella","TM7_genera_incertae_sedis","Tepidimicrobium","Tessaracoccus","Thiomonas","Tindallia","Tissierella","Treponema","Turicibacter","Unassigned","Vampirovibrio","Varibaculum","Variovorax","Veillonella","Victivallis","Weissella","Zimmermannella"
"CNTRL20",0,0.00236116107462848,0,0,0,0,0.000292791344655185,0.000591872022273046,0,6.19038578266056e-05,0.00172487206919992,0,0.0189095764236676,3.22108495006639e-05,0,0,0.00510544175837854,0.00108742406473927,0.000735471332418299,0,0,0,9.36012731478571e-05,0.000138475652643792,0.00116727399577811,0,0,6.27593865996578e-05,0,0.0639592783199667,0.00553179294329564,0.00463594614422723,0.000162038122497983,0.00128985428145471,0,0,0,0,0.000566583947542131,0.000642541284648057,0,0.00118776371278914,0,0.00018536218325998,0.000222029876004813,0,0.0203936891567502,0.00117871509991858,0.00448658139877383,0.000734907402074277,0.00770445157731709,0,0.00310833055241525,0.0012807712002753,0,0,0.00413194749228248,0,0,0,0,0,0,0.000598043321823723,0,0,0,0.000498395390872055,0.000405782209625215,0,0.000153638628947794,6.10251768979126e-05,0.000746204150971564,0,0,9.67086861146304e-05,5.90027229025219e-05,0.00103966563327389,0.000737657937520786,0,0.0852257094692251,0,0,0.000104335607183686,0.000891049461140202,0,0,0.00023776268966587,0,0.00275006500134096,0,0,0.00548488727940145,0,0,0,0,3.76799156021085e-05,0.000215413496454604,0,0.000256020790661121,0,5.56882366718206e-05,0,9.06149014197431e-05,0.00261673899608951,0,3.63662687549674e-05,0,0.000302737548685372,0,0,0.00064983038462034,0,0,0,0,0,8.80603887152779e-05,0,0,0,0,3.22108495006639e-05,0,0,0.00556945347669542,6.80280283007726e-05,0,0.0417563692907827,0.000148316450417779,0,0.000439650966343038,0.000125572576299834,0.00401794977662196,0,5.36847491677731e-05,0,4.13385701184348e-05,0.000135216289592721,0.000577590154705208,0,0,0,0,0,0,0.586674513506847,6.98383689888524e-05,0,0.00138124393675869,0.000649643058254006,0,0,0,0,0.0462725740475199,9.96469100938618e-05,0.0190874508183784,0.000171946390632934,0,0,0,0,0,0,0.000249201286254491,0,0,0.000206069442480831,0.00023079698581562,0,0,0.00309551750570793,0,0.00019046342776444,0,0.00174124496016112,0.000147397198111135,0,0.00016219053839366,0.000296929102195244,0,0,0,0,0,0,0.000372733261285787,0.027899765393642,0,0,0,0.000119249323502382,0,5.96992631329749e-05,0
"CNTRL23",0,0,0,0,0,0.00320644830509862,0,0.000212040332635713,0,0.000320165915337892,0.00397260624983958,0,0.00785036837486449,0.000389839697556967,0,0,0.000313516494345333,0,0.000266803732041748,0,0.000360689268185824,0,0.0029214656066981,0,0.00100754586581827,0,0.000300908478681055,0,0.000195059911236448,0.0645671615045634,0.000757681875550171,0.00228928732847029,0.00174017846239271,0.00639020158859772,0,0.000438498492709318,0,0,0.000845183267917649,0.000380182891594474,0,0.000499804387521664,0,0,0,0.0017370263301569,0.0400590396984157,0.00220756275524901,0.00355077517458596,0.00361142315263334,0.0150808355793412,0,0.0087514128452729,0.0052634518520747,0,0,0.0112789448292187,0.00324567553043094,0.00159238481014634,0,0.000588154817699387,0,0,0.000298957198182602,0,0,0,0.0126349065051305,0,0,0.00363979519822838,0.00262918614563899,0,0,0.000606716960343659,0,0.220552476924131,0.00133014443298572,0.0287540354032487,0,0.106148009955951,0,0,0,0,0,0,0,0,0.0150137289082033,0.00036370541653379,0,0.044956521651243,0,0,0.000946753551209777,0.00119259571731931,0.00153144884327777,0.000279079821830923,0,0.000185538898974391,0,0,0.00787671548016211,0,0.00145247675736692,0,0,0.000167074156095843,0.000617481722525292,0,0,0,0,0.000314238687111509,0,0,0,0.000795810109425447,0,0,0,0,0,0,0,0,0.000237657727785081,0.000306640591292798,0.0211755869526892,0,0,0.000700520384811849,0,0.00731904433360061,0,0.00105813632194034,0,0.00143095704508329,0.000696272963613825,0,0,0,0.00458588046606884,0.0233240808001767,0,0,0.0193289579905276,0,0.165886815597201,0,0,0,0,0,0.000503254638846466,0.00920072327816348,0,0.0170735613274094,0.00150626709908001,0.000542001370039196,0,0,0,0.000946753551209777,0,0.00160854269833496,0,0,0,0,0,0,0.00251387979119736,0,0,0,0.00375229901065855,0,0,0,0,0,0,0,0.000378656767171559,0,0,0.000711644960315076,0.06628214048078,0,0,0,0,0,0,0
"CNTRL300",0,0.00137621889965382,0,7.26444688594875e-05,0.000299353288019832,0,0,4.10545193184359e-05,0,0,3.29039181865807e-05,0,5.2967252221855e-05,1.38163056009153e-05,0,0,0.000429967084527176,0,5.26154014100549e-05,0,0,0.000461734734825177,0.00203437583051194,0.000381023896391288,0.00368439227409361,0,0,0,0,0.00142175419645607,6.25417966178665e-05,0.000427177964518798,0,0.00321095273823837,0,0,0,0,0.000108637503102579,0.000254682539418336,0.000105925009607017,0.000518118265654289,0,0.000283252937527281,0,0,0.0019050823650551,0.000187591080676632,0.000138976351669633,3.30219762588296e-05,0.0131252729011746,0.000423489951146412,0.000156281923895888,0.00029879180370958,0,0,0.00236718807839053,0,0,0,9.55593166140806e-05,0,0,0.00056869785779037,0.00089306721686068,0.0220169453038194,0,0.00150277605130754,2.07560920410441e-05,0.00257443827697055,0,0.00014214716639192,0.000179095627966149,0,0,0.000127804885947968,0.000170143288795551,0.000124637063905693,0.00341481827420358,0,0.0244542086091834,0,0,0,0.000185220189975996,0,0,0,0,0.000533501775352513,3.02692758562829e-05,0,0.00613655100684645,0,0,0,0,0.000108818021513963,0.00011072168587371,4.0591702492917e-05,3.61693627789614e-05,0,2.39357785225833e-05,0,0,0,0,5.86004841522704e-05,0,0.0001382117943691,0.000312276602806044,0,0.000276888382793448,4.72146734051993e-05,0,0,0.00348246533976019,0.000182104365874267,3.76603332324124e-05,0,8.18976516253708e-05,0,0,0,0,0,0,0.000293203036016025,0.00177058980109327,0.00667412466770263,4.44440242826085e-05,0,0,7.6540888767107e-05,0.000319675507005621,0,0,4.82929560289496e-05,3.26047297055603e-05,0,0,9.09146738343663e-05,0,0,0.000995547885986489,0,0.000639904131077155,0.763569649613581,0,0,5.20001717376056e-05,0.000405662571829031,0,0,0,9.81826923996532e-05,0.00131985575280343,0,0.00809914439928957,0.000543674115999281,0,0,0.000118557248358182,0,0,0,9.94403623097504e-05,0,0,0.000824522201526907,0,0,2.30271760015255e-05,0.00251608197556341,0,0,0,7.3546009833345e-05,3.21304736278244e-05,0.0721028663417169,0.000222601562925024,0,0,0,7.62880624579166e-05,3.12989708798359e-05,0,0.00121122945768024,0.000102675923422205,0.022975083771784,0.00114076276073207,0,0,5.08861409648259e-05,0.000304989225309038,0,0
"CNTRL48",0,0,0,0,0,0,0.00100883427675605,0.0163317143351904,0.000645581149076083,0,0.000643519721046301,0,0,0,0,0,0,0.0152209755969462,0,0,0,0,0.000701396580260379,0,0.00289296144427653,0,0,0.00191153056837118,0,0.00788127152639141,0.000395023495104074,0.0289905046280396,0,0.0586061097121048,0,0,0,0,0.0010818979880218,0,0,0.00593372063490459,0,0.000709422992103847,0,0,0.00102061067605154,0,0.0169221322131557,0.0468078063263989,0.145486063959586,0,0.00112268550176299,0,0,0,0.00222862570830296,0.00960139606405388,0,0,0.000113138976498455,0,0,0,0,0,0,0.0192294290182769,0.00915174725905321,0,0,0.00564741471473995,0,0,0,0,0.00237281991191464,0,0.00117422820213611,0,0.0251727245357246,0,0.00900268898346504,0,0,0,0,0,0.0140260794352539,0.0390142112446089,0,0.00464040860178915,0.000824131442944623,0.032305934935307,0,0,0,0.000599649960141377,0,0,0,0,0,0,0,0.00406712773001011,0,0.000123406463819508,0.000479763160069321,0.00800004980500873,0,0,0,0,0,0.000993569249802969,0,0,0.00175368518217321,0,0,0.00620292202066833,0,0.000775002027804288,0,0,0.000392276928165894,0.000193415533081029,0.000197774975046899,0.00081711712968484,0,0,0,0,0.0009108082427809,0,0.000110714575400613,0,0.000135178579660096,0,0.00185182324496327,0,0.015331075370431,0,0.0207378379242273,0,0,0.0150134537636171,0.00463546697448057,0.000208448902578557,0.00675171447021408,0,0,0,0.000773061790705344,0.00052198460863159,0.00418789551027958,0.00353627731060454,0.0112895972435001,0,0,0,0,0,0,0,0,0,0,0.00095027385253573,0,0,0,0.00032572863872621,0.00196162242627596,0,0,0.264262963136741,0.00109527169275937,0,0,0.00224183238675764,0.00751888241737166,0,0,0,0,0,0.000143765633226394,0.080760595416645,0,0,0,0,0,0.000179223361792011,0
"CNTRL52",0,0.000406683938685555,0.000254123586036409,0.000466133698174562,0,0,0.000250725085698633,0.000188173418729142,0.00027668596181872,0,0.000150800815889384,0,0.00323364719118355,0,0,0.000743550411046619,0.00633214673455254,0,0.00322449356759141,0,0,0.00038825925305768,0.000401373031907145,0,0,0,0.00020509123335382,0,0,0.0219488074948167,0.00081923154454815,0.0455044655635526,0,0.00770716198911208,0,0,0,0,0.00111429113104235,0.000221262903500282,0,0.000155186319312194,0,0,0,9.83654936391183e-05,0.0113928846550733,0.0019887929977424,0.000360811145317304,0.00257835347669532,0.0422582373593719,0,0.00161598604608092,0.00876210007897073,0,0.000206136032949468,0.0193649408386689,0.00125094516282538,0,0,9.90842806557242e-05,0,0,0.000223234863373816,0,0.00191419198532496,0.00044021411956299,0.00972553661395714,0.000757982849077953,0,0,0,0.000362076503982553,0,0,0,0.000116041647814407,0.00124147641655526,0.00281494323367092,0,0.39475397583881,0,0,0,0.000190787277988431,0,0,0,0.000874339727379308,0.0163547950549325,0,0.000195902333504902,0.0138885092017151,0.000719560472105343,0,0,0.00251564940390452,0.000499824817496975,0.00101810382543684,0,0.000213679502049701,0,0.00010951612955072,0,0.000111876268931893,0.00446790520999969,7.77222072955594e-05,0.000154856688182832,0,0.00114017236171822,0.000322271973547323,0,0,0,0.000296311006211894,0,0,0,0,0,0,0,0,0,0,0,0.000523137086733433,0,0.000259349378080712,0.0211859243446907,0,0,0,0,0.00118792010949562,0,0,0,0.000220602133798466,0.000265890267644012,0,0,0,0,0,0,0,0.0389595676626264,0,0,0.00284586626962519,0.000537470464769668,0,0,0,0,0.142617680723357,0.000350138289105261,0.0784306111023488,0,0,0,0,0,0.000823470455205696,0,0.000256857860356838,0,6.3343881169669e-05,0.000299302560349458,0,0,0,0.00188905455214449,0,0,0,0.00814247630413417,0.00175429122820491,0,0.000547524388539581,0.000244787055985359,0,0,0,0,0,0,0.000182665649465459,0.0587916782564868,0,0,0,0,0,0,0
"CNTRL82",0.000126120010009665,0,0,0,0,0,0.00288670594429177,0.00250807924321522,0.000143577761618832,0,0.000284156640697143,0,0.00012705097248107,0.000298177154811778,0.000297122608661578,0,0.00896606625489233,0,0,0,0,0.000622337603726607,0.0116694082330978,0,0.00816685360769939,0,0,0,8.0930923310528e-05,0.00197576852794453,0,0.00377759673438839,0.000248476542444918,0.0144904200600888,0,0,0,0.000127659053957846,0.00125603225386149,0,0,0.00697278655185678,0,0.0372744710206082,0.000195054238698916,0.000540114365439393,0.00568286204715326,0.000661002793804708,0.0238883042830212,0,0.0183927101645689,0.000661649747975112,0.00799724734793587,0.00267594976072192,0,0,0.0040451786264559,0,0.000112239473710256,0,0.000722013424096823,0,0,0.000767396608394457,0,0.00581484241026269,0,0.0146476200896259,0,0,0.000409094260431565,0.00810617095855099,0.00150536488375602,0,0,0.000123458467652866,0.000572822243588897,0.000183111154672516,0.00472336468618418,0,0.00679500441306522,0,0,0,0.000479897510839451,0,0,0,0.000214825552017417,0.00142829908935594,0.000651553484208593,0,0.23220412318467,0,0,0,0.00123834185046458,0.000627580893607148,0.000115762185276843,0,0,0.00012638518394282,0,0,0,0.00023946355688155,0.000134434417696523,7.40947304353868e-05,6.88101126488719e-05,0.000583632227083041,0.00025182357976434,0,0,0.023961771985874,0,0,0,0.000528654188500278,0.000185745940529553,0,0,0,0,0.000344050563244359,0,6.88101126488719e-05,0,0.000578053185345689,0,0.0699466222008446,0.000128880293001929,0,0.000101903646637807,0.000381275944190361,0.00021921181232531,0,0,0.00024010403783956,0.000164929969768685,0,0,0.00359325690852435,0,0,0.0274543283634513,0,0,0.0277455263372347,0,0,0.000161346376660291,0.00165654388978908,0.000643979450803041,0,0,0.000485619232549723,0.00446328558016372,0.000213002913787511,0.250831785054153,0.00830318322429754,0,0,0,0.000188615494636738,0.000435797380109522,0,0.000147306320275184,0,0.000114683521081453,0.00367718731501287,0.000169367202521223,0,6.88101126488719e-05,0.009971957250083,0.000316016164169994,0.000210478179004065,0,0.000457140546878099,0,0,0.000347176429889153,0.000103987889139,0,0,0,0.000372918184097983,0,0,0,0.0931552850859631,0,0,0,0,0,0,0
"CNTRL89",0,0.000569651799496345,0,0,0,0,0,0.00201907670039721,0.00707624093080604,0,0.000155518976974676,0,0.000670036264430874,0,0,0,0,0,0.000153625835644982,0,0,0,0.0125221768040778,0,0,0,0,0,0,0.00452166739235984,0.000270718847806681,0.0656332056067391,0,0.121010922481464,0,0,0,0,0.00307277110241523,0,0,0.000243502057967058,0,0.0568451913143779,0,0,0.00155942421837471,0.00189075922162695,0.00677829874058797,0.00224530322685159,0.0235293375260259,0,0.0236829999492439,0.0246987796208253,0,0.000207549956055174,0.0368723227049474,0.00186114830765047,0.000170875204265073,0,0.00242620476121369,0,0,0,0,0.00115730901054818,0,0.0197650927528815,0.000506469734238282,0,0.000329164095204755,0.011073725011142,0.000121285053190677,0,0,0,0.00139343635205975,0.000390577663599971,0.0103538556840614,0,0.0188183437219959,0,0,0,0,0,0,0,0.00058604249441909,0.0289773755016945,0,0.000182566110355532,0.00253793191822738,0,0,0,0,0.00218633615959909,0,0,0,0,0.00205391902917406,0,0.000408813727360048,0.00339266397077109,0.00710833071177296,0.000376986993758525,0,0.00138895977046663,0.000822561533809374,0,0,9.99536050847228e-05,0,0,0,0,0.000941481398101613,0,0,0,0,0,0,0,0,0.00027715162871935,0.00031136013684861,0.00813306969155806,0,0,0.000154861767046859,0,0,0,0,0,0.000369724939731176,0,0,0,0,0,0,0,0,0.0309708623780283,0,0,0.00142106094655067,0.000468973844639618,0.000420288010333381,0,0,0.000401421861042915,0.0371319879542151,0.000452762741429263,0.352227079938793,0,0,0,0,0,0,0,0.000976498358533938,0,0,0,0,0,0,0.00170409999488151,0.000244647485769801,0,0,0.0128447448845986,0.000441630687731553,0,0.000528659330584589,0,0,0,0,0,0,0,0.00239648603282743,0.0319621358299934,0,0,0,0,0,0,0
"CNTRLA1",0,0,0,7.81614516820614e-05,0,0.00172821712926792,0,0.0037291765826651,0.000792513180929804,0.000241031303716806,0.0452872070535649,0,0.00140022803289683,0,0.000319385032572228,0,0.00152083250791593,0,9.2783843211622e-05,0,0,0.000652858821771422,0.0380332469140051,0.000326281155881014,0.00448779722079358,0,0,0.00129699265622542,0,0.079191424012887,0.00302243379678717,0.00979685662630343,0,0.0279040801457816,0,0,0,0,0.00138528801607403,0,0,0.000572204771896969,0,0.00198338281393649,0.000213902290898142,0,0.00445406005854057,0.00200029826953259,0.0411875092407692,0.00254504505528456,0.0485706871568043,0.00100549901389653,0.166175468181375,0.00760926245518546,0,0.00032840816317961,0.0306620433258357,0,0.000122324231357034,0,0.000213969523186654,0,0.000267388776294035,0.00012402569224409,0,0.0177955591125921,0,0.0106124700198402,0.00507384883125749,0,0,0.000232628138986166,0.000160116602164335,0,0,0,9.8953833156235e-05,0,0.0100633527778014,0,0.0441539021426809,0,0,0,0.000458634396559198,0,0,0,0.0011066461666722,0.00647644790305784,0.00036440258958296,0.00027604405476204,0.0034746582947028,0,0,0,0,0.00198052226231356,0.000125111280553961,0.000153565543426933,8.26479587353182e-05,0,0,0,0.00423751243887074,0.0010997793448582,0.000609096532345946,0.000212987876778091,0,0.00105434178142572,0.000271117503977773,0,0,0.0622290396753194,0,0.000515648179835768,0,0,0.00114674543596177,0,0,0.00186370191006059,0,0.000272113513223572,0,0,0.000438414575963889,0.000186210987686064,0.000135070508489186,0.00475675050248118,0.000242635859546536,0,0,0.000169767623412208,0.000472675599507631,0,0,0,0.000653506121615717,0,0.000829571238801908,0,0,0,0.000557545638854037,0,0,0.0626819693869133,0.000440942549529168,0,0.00256523057728059,0.000254170219919089,0.000394197049991824,0,0,9.70373944726312e-05,0.0711728763559556,0.00148167797181669,0.0642207414084968,0,0,0,0,0,0,0,0.000242982891703411,0,0,0.000460938390331816,0,0,0,0.000840538031501976,0.000188040282901713,0,0,0.0132098361819353,0,0,0,0.000297788493620314,0.0126363989440102,0,0,0,0,0,0.00977714170499313,0.037452446319562,0,0,0,0.00694697516732762,0,7.20514147254282e-05,0
"CNTRLA10",0,0.000179473495954098,0,0.0014303514005579,0,0,0.00034299475089944,0.00241739455350672,0.00396247892466062,0.000169023597552931,0.000503458370996686,0,0.00263286619417667,8.69198824113099e-05,0,0,0.000239914270517298,0,0,0,0.00109622535182063,0,0.0174323980184599,0.000236763265160132,0.00180973317912795,0,0,0.000300364556899852,0.000862783614556532,0.0123056017016526,0.000311209398850317,0.0194917171966767,0.000195134433881573,0.278848154352965,0,0,0,0.000163862311626061,0.000431657344429211,0.000193005828445981,0,0.00071394401728442,0,0.000251087592529412,0,0.00112741510652688,0.0165177904251237,0.00176530674243413,0.00473788180830886,0.00722807922574009,0.0420813081860628,0,0.0141932668328893,0.00957501269820242,0,0,0.0279363908941055,0.00183632912320025,0.0020805755204924,0,0.00433582051399808,0,0,0,0,0.00099010223050754,0,0.0234997972926841,0.000733434019741536,0,0.00131240672676599,0.00354179594240577,0.000175840671899311,0,0,0,0.0312780035726825,0,0.0245347039204014,0,0.0435619209141917,0,0,0,0.000167782375324577,0,0,0,0.00143651265953046,0.0338824530871944,0,0.000269465941700183,0.0192263566345057,0.000982633572341153,0,0.00408523447333157,0.000679570738254181,0.00562687034102111,0.00103986009136953,0,0,0,0,0.00223858918073656,0.00032832108058939,0.00209530800358626,0.00190805759936519,0.000379813951508787,0.00147763800099227,0.000579950606619717,0,0,0,8.21215009862185e-05,8.97138839520766e-05,0,0,0,0.000238925567254212,0.000146021947178627,0,0,0,0,0,0,0,0.000242111503187374,0.00025934299109254,0.0109330024045001,0,0,0,0,0.000415119659377044,0,0.000434599412056549,0,0.00147566866729487,0,0,0,0,0,0.00968977608451325,0,0,0.0143976434652494,0.000964331394813188,0.000229545403222932,0.0013016899750439,0.000645574004473815,0,0,0,0.000621444240660443,0.0405389989602012,0.000374736951897222,0.0482208492658378,0,0.000637153690709017,0,0,0,0.00026075964723393,0,0.00263890072174296,0,0.112793034075743,0.00016165095403654,0,0,8.69198824113099e-05,0.00163015531218056,0.000533905366085527,0.000296562913088176,0,0.00706473248283306,0.000220767978592334,0,0,0,0,0,0,0,0,0,0.000647178541725058,0.0520209428388901,0,0,0,0,0,0,0
"CNTRLA11",0,0.00032058093544414,0,0.000130520515935712,0,0,0,0.000474591245929511,0.0011942865920066,0,0.00328708028221757,0,0.00148420558977522,7.43660695359266e-05,0.000184218413796139,0,0.000939889991618243,0,0.000198625718030887,0,0,0.00024236201229189,0.004881700440871,0.000202363933564468,0.0004577081544162,0,0,0.000253385465492427,0,0.0170326783535346,0.0013701546334898,0.032796819113877,0,0.124290597832998,0,0,0,0,0.00298839215704594,0,0,0.0017602679326656,0,0.00117526186850042,0,0.000112779037810158,0.0155056627838655,0.00260304871245254,0.0231225122569444,0.000994089969588763,0.0490093357908767,0.00295063558021882,0.0122851292749151,0.00801166696683655,0,0,0.0266334056095097,0.00159556567202977,0,0,0.00325140384335032,0,0,0.000349139208904232,0.000433539550969358,0.0231124092196144,0,0.0204977777926129,0.000326486980000429,0,0.000485476932626349,0.000492065581715048,0.000429535980178283,0,0,0,0.0040316833245493,0.000591912232272636,0.00991596885706729,0,0.113329660929138,0.000963687057985981,0.00328102193812303,0,0,0,0,0,0.000214736037848738,0.0201411819274269,0.00042134845211136,7.93381907018857e-05,0.0428148778475599,0.000455003826617009,0,0,0.000278248238903023,0.0018242919167487,0.000123780927576714,0.000872799529603196,0.000250633835969663,0.000229924966900671,0,0,0.00225455991703386,0.00144056235399995,0.000204840959900127,0.000326399979603253,0.000173520828917162,0.00355280943115883,0.000379171278806394,0,0,0.0167668341966707,0,0,0.0002551266213526,0,0.00101098824498689,0,0.000418918716151855,0,0,7.43660695359266e-05,0,0,0,0.00142778019569082,0.000222041675069265,0.00812272672741618,0,0,0,0,0.00163422615083992,0,0.000272675588298398,0.000923177707741594,0.0015956065026753,0,0,0,0,0.00365363264505246,0.000568188614384451,0,0,0.0320233439240193,0,0.000140371864213358,0.00170884132064327,0.00047739991117121,0.000487365292327419,0,0,0.00201173117306661,0.0828153574175689,0.000229969437408898,0.150206350780061,0.000954191608351139,0,0,0,0,0.000173520828917162,0,0.00111727418209983,0,0,0,0,0.000492528062542519,7.43660695359266e-05,0.00166988368927955,0,0,0,0.00225459368463213,0,0.00105738343743065,0,0.00019358336798664,0,0,0,0,0,0,0.00200208061995322,0.0859424348533166,0,0,0,0.000277450035027914,0,0,0
