"","Acetanaerobacterium","Acidaminococcus","Acinetobacter","Actinomyces","Adlercreutzia","Akkermansia","Alistipes","Allisonella","Allobaculum","Anaerococcus","Anaerofilum","Anaerorhabdus","Anaerosporobacter","Anaerostipes","Anaerotruncus","Anaerovorax","Atopobium","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevibacterium","Bulleidia","Butyricicoccus","Butyricimonas","Caldimonas","Caloramator","Campylobacter","Catenibacterium","Citrobacter","Clostridium_III","Clostridium_IV","Clostridium_XI","Clostridium_XVIII","Clostridium_XlVa","Clostridium_XlVb","Clostridium_sensu_stricto","Collinsella","Comamonas","Coprobacillus","Coprococcus","Corynebacterium","Cronobacter","Denitrobacterium","Desulfotomaculum","Desulfovibrio","Dialister","Dietzia","Dorea","Eggerthella","Enterobacter","Enterococcus","Enterorhabdus","Erwinia","Erysipelothrix","EscherichiaShigella","Ethanoligenens","Eubacterium","Faecalibacterium","Filifactor","Finegoldia","Flavonifractor","Fusobacterium","Gardnerella","Gemella","Gemmiger","Geosporobacter","Gordonibacter","Gracilibacter","Granulicatella","Haemophilus","Hafnia","Halomonas","Hespellia","Holdemania","Howardella","Klebsiella","Kluyvera","Lachnobacterium","Lactobacillus","Lactococcus","Lactonifactor","Leuconostoc","Lutispora","Marvinbryantia","Megamonas","Megasphaera","Methanobrevibacter","Methylobacterium","Micrococcus","Mitsuokella","Mobiluncus","Mogibacterium","Moryella","Murdochiella","Mycoplasma","Negativicoccus","Neisseria","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Pantoea","Papillibacter","Parabacteroides","Paraprevotella","Parasporobacterium","Parasutterella","Parvimonas","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Porphyromonas","Prevotella","Propionibacterium","Proteus","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pyramidobacter","Rhodococcus","Robinsoniella","Roseburia","Rothia","Ruminococcus","Saccharofermentans","Salmonella","Selenomonas","Shewanella","Slackia","Sneathia","Solobacterium","Sphingomonas","Sporanaerobacter","Sporobacter","Staphylococcus","Stenotrophomonas","Streptococcus","Subdoligranulum","Succinivibrio","Sutterella","TM7_genera_incertae_sedis","Tepidimicrobium","Tindallia","Tissierella","Turicibacter","Unassigned","Vampirovibrio","Varibaculum","Veillonella","Victivallis","Weissella","Zimmermannella"
"CNTRL20",14,0,0,2,0,0,11,1,5,260,1,0,0,1,1,32,0,354,16,7,3,18,2,0,11,2,0,6,53,3,0,64,5,30,1,80,2,39,8,0,0,68,8,0,0,2,0,24,1,12,0,0,0,1,0,1,0,14,28,544,2,68,4,20,34,0,18,0,0,55,1,3,0,0,0,1,0,0,0,0,7,0,0,0,1,0,33,67,0,0,0,8,9,0,1,45,0,0,0,3,0,0,125,5,2,6,0,0,4,87,4,67,17,0,32,1744,0,0,14,6,0,0,0,0,430,0,208,6,0,0,0,0,3,3,0,0,26,0,0,23,2,5,4,17,39,0,0,3,265,2,3,7,0,0,0
"CNTRL23",0,0,0,0,0,0,3,1,0,43,0,0,0,9,0,6,0,28,2,0,3,10,2,0,5,0,0,0,53,0,0,46,2,6,1,25,2,25,8,0,0,40,30,2,0,0,0,23,2,36,0,18,0,0,1,0,1470,1,53,265,2,68,0,18,1,0,18,0,0,87,2,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,33,3,0,0,0,9,9,2,1,46,0,0,0,0,0,0,84,0,0,5,0,2,4,5,4,67,84,56,29,352,0,0,0,0,0,0,0,0,38,0,69,26,0,0,0,0,1,0,0,0,5,0,0,7,0,12,1,0,38,1,0,0,144,2,3,1,0,0,0
"CNTRL300",20,0,0,0,0,0,1,1,4,42,1,0,4,91,1,151,0,0,1,2,0,110,2,0,6,2,11,4,52,10,0,20,2,5,0,112,10,8,6,0,0,53,8,0,0,1,13,352,2,33,0,0,0,1,0,0,0,1,43,293,1,68,2,14,1,0,9,0,0,161,4,3,0,0,1,1,1,0,0,0,0,0,0,0,1,8,35,41,0,0,0,4,55,0,8,43,0,0,0,0,0,9,105,0,2,2,5,0,0,5,20,68,12,17,62,1888,0,0,2,5,0,0,0,0,59,0,181,41,0,0,0,0,0,7,0,2,39,0,0,1,2,439,7,0,40,1,0,2,542,61,3,7,5,0,0
"CNTRL48",0,0,0,100,0,0,0,2,0,0,0,0,0,4,0,28,15,76,1,489,0,233,0,0,7,0,0,47,0,1,0,4,0,29,13,328,2,7,0,0,0,14,115,0,0,0,0,26,0,56,32,0,0,0,0,0,25,0,12,113,4,128,0,40,4,45,328,0,4,3,153,2,0,0,3,0,0,0,0,0,25,0,0,0,23,0,25,4,0,0,5,14,0,9,0,763,0,0,0,2,0,0,10,0,0,1,1,0,0,59,4,247,26,59,186,982,17,0,37,0,0,5,0,1,31,8,73,0,0,0,0,0,0,9,0,0,2,19,0,4918,5,2,0,17,599,0,0,0,245,2,0,1,0,0,0
"CNTRL52",2,0,0,0,0,0,4,6,5,40,2,0,2,4,0,3,0,27,2,270,0,77,2,0,11,1,0,0,53,0,0,22,6,4,0,157,2,14,22,0,0,75,30,0,0,0,0,48,14,45,0,0,0,1,0,0,0,12,42,601,2,68,0,20,1,3,67,0,0,70,38,3,0,0,2,2,0,0,0,0,7,0,0,0,1,2,33,3,0,0,0,8,9,0,1,45,0,0,0,5,0,0,86,0,0,2,0,0,4,5,4,67,17,0,32,1101,0,0,15,3,0,0,0,0,966,3,232,1,0,0,0,0,3,2,0,0,13,0,0,38,13,5,6,0,39,0,0,0,335,2,3,1,0,0,0
"CNTRL82",0,0,0,10,0,0,0,2,0,39,0,0,2,90,0,88,0,12,0,6,2,119,2,0,10,0,0,85,50,239,0,20,1,186,0,82,6,47,17,0,0,36,12,0,0,0,0,51,2,12,0,1,197,0,0,1,2,0,54,43,1,69,3,2,1,0,2,5,0,652,2,1,0,0,3,0,0,0,0,0,2,0,0,0,0,2,38,3,0,0,0,14,41,0,0,31,0,0,1,0,1,0,70,0,2,0,5,0,0,4,38,84,3,45,2,966,0,0,1,10,0,0,0,0,41,0,1102,83,0,1,0,0,0,8,0,1,12,2,0,1,0,0,5,0,40,4,0,0,514,2,2,2,0,0,0
"CNTRL89",2,0,0,0,1,0,0,2,0,40,0,0,0,54,0,4,0,12,1,122,0,454,2,0,14,0,0,0,52,170,0,8,4,5,0,98,2,88,43,0,0,86,72,0,0,0,0,36,2,30,0,0,92,0,0,0,0,0,55,85,1,71,0,7,1,1,65,0,0,19,3,2,0,0,6,0,0,6,0,1,5,1,0,0,0,2,39,3,0,0,0,12,9,3,0,38,0,0,0,0,0,0,46,0,1,0,0,0,0,6,4,76,8,0,15,781,0,0,3,2,0,0,0,0,132,1,895,1,0,1,0,0,0,0,0,0,7,1,0,22,2,3,4,0,40,0,0,6,125,2,2,1,0,0,0
"CNTRLA1",0,0,0,19,0,0,2,2,2,37,0,0,2,316,1,45,11,142,2,0,0,189,4,0,10,0,0,1,56,7,0,32,0,1029,0,146,6,3053,2,0,0,66,15,0,0,0,1,0,2,26,8,0,0,2,0,0,0,0,34,227,1,68,3,0,1,10,7,2,0,27,2,1,0,0,0,0,0,0,0,37,7,0,0,0,0,2,63,2,0,0,4,16,9,7,0,392,0,0,0,6,0,0,41,0,1,0,0,4,0,59,4,89,0,3,0,1117,1,0,0,1,0,0,0,0,225,4,201,1,0,0,0,0,0,3,0,0,5,4,0,19,0,0,1,3,242,0,0,17,107,2,0,0,0,0,0
"CNTRLA10",1,0,0,6,4,0,3,1,1,40,0,0,0,95,0,14,1,15,1,11,2,325,1,0,4,0,0,3,56,1,0,25,3,12,6,104,2,43,13,0,0,87,50,2,2,0,0,52,2,54,0,8,1,0,0,0,28,0,83,260,2,67,0,25,1,4,85,0,0,84,18,3,0,0,20,1,0,0,0,1,4,0,0,0,0,0,29,3,0,0,0,6,9,0,1,44,0,0,0,0,1,0,72,0,0,0,0,6,0,5,3,61,22,36,43,746,6,0,6,2,0,0,0,1,176,2,156,1,0,0,0,6,13,1,0,1,8,2,0,32,1,2,1,0,50,0,0,2,204,1,3,1,0,0,1
"CNTRLA11",2,0,0,1,0,0,2,1,5,41,0,0,1,22,0,6,0,25,6,39,0,325,1,0,23,0,0,6,56,9,0,28,8,81,1,148,15,42,12,0,0,98,48,0,2,0,5,103,1,61,0,0,0,0,0,0,20,1,49,352,21,277,0,27,1,0,73,2,0,168,6,3,0,0,7,0,3,0,0,6,4,0,0,0,6,2,29,3,0,0,0,37,9,5,44,45,0,0,0,0,2,0,69,0,0,2,7,8,0,5,3,60,138,3,45,1010,0,0,8,2,0,0,0,3,328,1,296,37,0,0,0,2,17,0,0,1,9,0,0,12,0,73,1,0,45,0,0,9,397,1,3,9,0,0,1
"CNTRLA2",4,0,5,0,0,365,22,1,1,44,3,0,0,24,0,27,19,39,10,62,2,87,1,0,5,4,0,7,58,0,0,24,22,19,5,119,2,103,10,2,0,46,13,0,0,0,0,91,1,47,0,71,1,0,0,0,20,0,116,30,2,68,2,28,1,0,22,0,0,39,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,27,3,0,0,1,4,8,3,1,44,0,0,0,4,4,0,43,0,0,4,0,1,0,5,3,224,25,0,47,430,1,0,20,2,0,0,0,0,1091,0,122,0,0,0,0,0,18,0,0,0,5,0,0,1,1,2,14,0,46,1,0,3,262,1,3,2,0,0,1
"CNTRLA3",10,0,0,0,0,0,18,1,5,40,1,0,2,10,0,36,0,73,6,4,3,82,1,0,6,1,0,3,54,0,0,44,3,23,2,81,5,39,23,0,0,81,28,1,0,1,13,24,1,36,0,7,0,0,0,0,53,2,49,283,2,68,2,21,1,0,21,0,0,40,10,3,0,0,0,0,0,0,0,0,17,0,0,0,2,1,32,3,0,0,2,8,9,3,1,45,0,0,0,7,0,1,104,0,2,3,0,0,4,104,4,307,18,14,34,1671,0,0,11,1,0,0,0,0,373,0,123,6,0,0,0,0,4,0,0,0,5,1,0,10,4,6,6,1,38,0,0,3,220,1,3,7,0,1,0
"CNTRLA4",0,0,0,1,0,0,2,1,7,41,0,0,0,3,0,6,0,19,5,138,2,25,34,0,1,1,0,4,58,1,0,25,0,21,6,27,2,19,4,0,0,20,84,2,0,0,0,56,13,21,0,51,0,1,0,0,26,0,17,79,2,67,0,27,1,16,22,0,0,10,6,3,0,0,0,0,0,0,0,0,853,0,0,0,0,0,2297,3,0,0,0,5,8,0,1,46,0,0,0,0,0,0,24,0,0,1,0,0,0,5,3,60,24,3,45,1355,0,0,4,0,0,0,0,0,62,0,35,0,0,0,0,0,18,0,0,0,4,0,0,17,4,2,1,0,44,0,0,1,150,1,3,11,0,0,1
"CNTRLA5",0,0,0,0,0,0,3,3,7,27,0,0,0,135,1,5,5,146,0,502,0,435,1,0,12,0,0,4,0,7,0,112,1,64,11,128,5,116,65,0,1,120,184,0,2,0,6,48,0,39,0,1,0,6,0,0,17,0,48,294,3,51,0,25,46,7,49,0,0,41,19,11,0,0,0,0,0,0,0,0,0,8,0,0,5,4,35,5,0,0,1,34,2,7,0,125,0,0,0,3,0,0,10,0,0,0,1,11,0,8,5,67,22,4,278,509,0,0,6,0,0,4,0,0,146,0,93,1,0,0,0,0,0,9,0,0,0,12,0,218,4,53,0,0,252,1,0,0,159,9,0,4,0,0,0
"CNTRLA6",1,0,0,9,40,0,0,1,4,40,0,0,0,93,0,18,7,0,0,0,0,324,2,0,9,0,0,4,53,19,0,45,5,326,2,98,2,146,102,0,1,65,30,0,1,0,3,24,1,38,8,0,0,0,0,0,0,0,46,266,2,68,0,20,1,14,93,0,0,62,10,3,0,0,4,0,0,0,0,2,4,0,0,0,1,2,33,3,0,0,0,8,9,0,1,45,0,0,0,0,2,0,26,0,0,0,0,1,0,5,4,262,17,7,32,692,0,0,3,3,0,0,0,0,233,0,253,1,0,0,0,0,3,0,0,1,18,17,0,34,8,5,1,2,274,1,0,9,222,2,3,1,0,0,0
"CNTRLA7",0,0,0,9,2,0,60,2,326,24,0,0,2,9,0,10,1,310,38,347,0,262,1,0,14,0,0,0,0,1,0,3,0,7,75,137,2,2,62,0,0,103,6,0,0,0,1,20,0,30,0,0,0,0,0,0,0,0,53,749,36,47,0,31,4,0,222,0,0,48,2,2,0,0,3,0,0,0,0,0,0,0,0,0,4,3,30,5,0,0,0,24,1,0,0,122,0,0,0,9,0,0,53,0,0,0,1,0,2,57,5,64,21,0,240,0,0,0,13,2,0,5,0,0,706,0,97,0,0,0,0,0,0,0,0,0,0,0,0,34,13,1,0,0,54,1,0,0,212,2,0,4,0,0,0
"CNTRLA8",9,0,0,1,0,2,20,1,6,40,0,0,5,39,1,105,0,159,40,5,5,112,1,0,9,5,4,14,55,5,0,23,2,9,2,94,10,14,8,0,0,65,8,0,0,3,9,136,1,37,0,0,41,1,0,1,7,0,53,340,2,69,2,24,1,2,44,0,0,92,95,3,0,0,3,1,1,0,0,0,6,0,0,0,1,3,31,73,0,0,0,52,9,9,1,45,0,0,0,6,2,5,92,0,6,5,0,0,6,59,26,64,20,10,38,1793,0,0,4,3,0,0,0,1,158,0,114,34,0,5,0,0,8,4,0,0,26,1,0,15,2,373,7,0,438,1,0,3,417,36,3,1,3,0,1
"CNTRLA9",24,16,0,0,0,0,0,1,7,228,1,0,1,7,13,191,1,13,2,8,2,112,1,0,16,0,0,5,56,29,0,102,16,11,0,97,14,41,13,0,0,178,287,1,1,1,0,75,2,45,0,0,0,1,0,2,19,12,66,274,25,67,1,25,1,0,54,0,0,46,6,27,0,1,1,0,6,0,0,0,3,0,0,0,1,2,29,46,0,0,0,45,9,0,1,44,0,0,0,3,18,0,98,0,2,0,0,1,0,5,16,61,22,0,43,1204,1,0,1,4,0,6,0,0,94,0,234,9,0,0,0,0,13,5,0,1,21,5,0,0,14,2,1,0,50,0,0,10,415,18,3,1,0,2,1
