,Acetanaerobacterium,Acetivibrio,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Akkermansia,Alistipes,Allisonella,Allobaculum,Anaerococcus,Anaerofilum,Anaeroplasma,Anaerosporobacter,Anaerostipes,Anaerotruncus,Anaerovorax,Atopobium,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Bulleidia,Butyricicoccus,Butyricimonas,Butyrivibrio,Caldimonas,Caloramator,Campylobacter,Catenibacterium,Citrobacter,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Coprobacillus,Coprococcus,Coraliomargarita,Corynebacterium,Cronobacter,Denitrobacterium,Desulfotomaculum,Desulfovibrio,Dialister,Dietzia,Dorea,Eggerthella,Elusimicrobium,Enterobacter,Enterococcus,Enterorhabdus,Erysipelothrix,EscherichiaShigella,Ethanoligenens,Eubacterium,Faecalibacterium,Finegoldia,Flavonifractor,Fusobacterium,Gemella,Gemmiger,Gordonibacter,Gracilibacter,Granulicatella,Haemophilus,Hespellia,Holdemania,Howardella,Hydrogenoanaerobacterium,Klebsiella,Lachnobacterium,Lactobacillus,Lactococcus,Lactonifactor,Lutispora,Marvinbryantia,Megamonas,Megasphaera,Methanobrevibacter,Methanosphaera,Mitsuokella,Mobiluncus,Mogibacterium,Moryella,Murdochiella,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Oxalobacter,Papillibacter,Parabacteroides,Paraprevotella,Parasporobacterium,Parasutterella,Parvimonas,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Robinsoniella,Roseburia,Rothia,Ruminococcus,Saccharofermentans,Selenomonas,Slackia,Sneathia,Solobacterium,Spiroplasma,Sporobacter,Staphylococcus,Streptococcus,Subdoligranulum,Succinivibrio,Sutterella,TM7_genera_incertae_sedis,Tepidimicrobium,Treponema,Turicibacter,Unassigned,Vampirovibrio,Veillonella,Victivallis,Weissella
4EP1,6396.259,0.15211737,0.52295196,2.0949404,0.055533323,1.020944,inf,1.4533451,0.6038386,3.3691998,4.2940307,0.07612909,4.2926617,0.38456166,9.058309,0.32681227,3.659312,7.9660635,2.2063181,0.44134444,3.2509284,0.06812687,inf,1317.5542,2.1777759,39.421734,0.0836283,78.19174,7.108711,1389.5946,0.80290276,0.8831452,2.6534665,0.5013623,87301.336,8742.792,108.798645,0.55944556,0.17567055,2310.3818,0.3161503,1.2435522,2.6690474,0.21871865,0.061483305,2.1135707,310439330.0,inf,1985206000000000.0,171978690.0,177170700.0,0.09661352,0.31862426,8.865983,0.6188396,524.4831,1.5423533e+24,0.36877558,3.706915,1.2816467,9.139678,1.0198724,0.1612053,4.4485102e+22,55897132.0,505.7927,1.5814931,0.08946661,0.5550217,153.55421,0.85044974,3.2329724,5.70922e+27,0.42060852,inf,7.2531595,38.26625,0.38255817,0.15783273,0.5532644,12.816179,1.56223,56530006000.0,4.892677,0.51755404,1.4805133,0.9667977,415.25632,1.9673837,82.97769,234.42609,inf,3285.7812,2.4985824,3.2824173,10.093758,8.007846,17.501743,0.21942978,0.61611444,3.291184,35.03815,3.41298,3.588658,3.532562,1.89129,47.159683,4.8536954,0.16693552,2.195258,4888.706,4200509.5,71074.99,inf,6.4144244,38.5037,0.25181597,326.15805,0.7935522,0.010094728,45.626915,0.28687912,0.72436696,0.091336355,27994.36,72.71087,0.46984002,64602852.0,0.074222475,3.3035173,5.57423,5.682995,985530.4,0.11918507,0.36853227
4EP10,20.490652,0.29224977,0.3244277,1.0328515,1.7610017,0.55927265,28336740.0,1.0018922,0.6933395,362.5307,13174454000.0,3.5989523,0.2016411,0.40062657,3.3709726,0.46721378,1.5487119,47.57035,898.7452,0.08694605,56790.715,0.41430563,1.9654666e+26,11883577000.0,2.2923496,4.297427,1.1990086,5.2086034,1.5301946,0.34052575,0.64333814,0.032902658,1.6768327,2.0670846,13.763177,1931.2244,1.4035002,2.8010755,0.24426529,0.92368335,0.3066618,6.415414,1.37802,28.724401,0.20576277,2.001877,0.6650881,inf,9974234000.0,77.19655,1.5286388,0.10854784,0.8112002,10648795.0,0.49329948,2.8669982,12294567.0,0.47935954,0.7710763,1.1406368,9.447143,2.4286466,0.1008797,3.360875,6.9748486e+25,24.847776,1.4597664,0.024592701,1.0848628,0.58245516,1.5285465e+16,1.4044995,20452.668,1.4136262,5.483676e+19,2288255.5,0.6622905,0.65264684,1.0557281,3.6909285,0.83172417,1.1987077,2741.4075,3.7895238,0.16587657,0.43686202,137.35092,7187265.0,0.42458752,1.9932239,17.790945,1.5794158e+22,4.228472,1.4126809,1.2103242,3.869634,1.2721634,63138.105,0.5219762,0.6032886,0.106689155,0.15359807,0.3205033,0.44295138,3.6239002,0.78989065,2.6310973,1.6696926,1.9982787,448309.5,19033714.0,0.09861113,7222184.5,1384969900.0,1.1615283,2.4613347,38.588654,0.36021963,3.0290115,0.030519474,3.1163888,0.04960366,1.8863702,0.094677374,111694780.0,9.497545,4.977266,inf,1.0442183,0.67536694,17261543000.0,2.1063495,20.933777,0.5620827,0.91309434
4EP12,0.6198336,2.3266356,1.3023486,8.186305,8657561.0,0.29806715,714.44653,3.4197376,0.26655966,22429120000.0,0.47538164,1.696195,0.91838884,0.45925793,4.17774,0.9287391,41.309402,115.36946,10023.858,0.06359604,0.42948076,363.96844,0.40732577,409.33112,1.4162432,1.0867164,6.100982,3.8030262,0.080708474,0.6530722,163.22295,0.44956967,976.9295,1.1365874,16.640827,1507.3987,0.27579564,0.21843818,0.08258675,1.0329088,0.31357378,1.349627,4.0004854,inf,0.0071678297,281.8327,2.51885,inf,787199.4,8.0280695,644.8777,43334.895,6.282498,0.023464983,1.2984896,20.067942,6.9277315,5.597793,9.226538,1.7190155,1102.3204,1.9920069,0.93686354,0.568009,5995441700.0,698443100.0,1.2175336,0.43025407,2.189095,100.01976,0.6724941,2.222556,100711690.0,0.65042216,6.910165,5.937738,4945.6387,0.22512361,0.6403493,4.2228894,1.2745576,0.2743774,9.2336575e+29,4.699893,0.5464894,2.019704,0.048056193,454476.2,0.09680864,3.7900643,44936.95,270877740000.0,548718280000.0,1531738.6,3.5599341,0.26869538,4.7201543,0.3151828,0.35608646,0.040518604,0.048285127,9738495000000.0,26.03536,0.83980936,33.15842,1.2823721,1.2093232,390.43805,0.1702685,4.1426744,24.511408,1.9969044e+22,13599671000000.0,inf,38210950000000.0,5905211.0,1126.9302,15.204282,0.6101459,0.036270935,30839288.0,2.1541708,2.3157768,0.21563365,0.27064654,0.6773151,1.0888612,inf,32459054.0,4.509421,0.35664403,3.1928236,1.2987628,0.044781584,270.78357
4EP15,4.7444882,0.20423092,0.37472582,9.8403425,1.2475822,0.35042855,8207033400000.0,41.997284,0.7351069,5.848405,6328074.5,0.27902657,903260600.0,0.77848727,5.966886,2.3905804,47283276.0,2.5966122,3.3473327,0.3731231,0.67568725,0.46437478,inf,3.279007,1.2089616,0.58917195,3.1436405,25.087547,0.21568918,0.15471053,0.20521626,0.55328715,12.0034,2446.365,7578742.0,0.19792199,1.5771047,654.3807,53.0033,0.4744703,0.1770609,2.524325,0.43151778,0.13275918,0.5181882,39550.2,163.9069,inf,45.608887,47.792427,0.059950657,0.060525563,0.7600864,19.45153,0.1046548,1.1955256,inf,0.25799286,15.7326355,1.7949033,79.573616,5.1769485,0.110535875,5.5041256e+31,38403417000000.0,159505180.0,2.79717,0.024105402,140.09673,15.153732,0.5105428,16.588644,107651.58,0.29240838,inf,7.5443683,0.89464474,3.9313858,2.0713966,3.0179994,0.1568841,4.26051,2858.8464,6.603303,0.5759357,1.4205402,0.7491086,0.51114655,1.0791328,1.5430486,3.6915276,330622600.0,5.438411,0.48063046,0.27908608,422.8328,1887827000.0,0.2534749,0.21521722,0.28651756,0.1688677,0.35128483,1.1529594e+18,142.69865,1.2464249,0.16427235,3.461763,2.9472122,0.4722337,68690820.0,0.666051,19866402.0,1.7444291,inf,15.887959,36423.17,198231620.0,104376420.0,0.44916543,0.01857692,3.16714,0.58631,4.7290645,294.73444,2804.6199,2824637800000.0,41.651264,878.9956,0.6948425,5.5064397,7192270.0,3.096842,1.0150306e+16,0.12645423,39279976000000.0
4EP17,0.84861183,0.31381696,0.4972432,11.416917,0.32193726,0.20705931,10735788000000.0,0.35858282,0.04032906,1584.1874,392.38104,970.73,0.42116484,0.1288181,0.7668002,1.440808,15.126514,2.8750017,3.5346427,0.105399035,5.0070662,0.2799091,1317.716,1.2799161e+21,1.4424418,57.133823,0.03032394,2.0905263,1.5193322,0.3825342,2.4117637,0.078150816,0.5085603,0.7328044,424.96738,8.406324,0.34106728,15181009.0,0.36957145,0.8948234,0.2356643,2.239829,0.7020685,5705.33,0.041106936,8.900399,13.037175,inf,6223.6562,4.150752,1.650026,1.0651993,0.77403474,11832015000.0,0.7057343,1.4842234e+20,20162.09,0.15686624,720.7101,2.0523562,126.7752,0.14220273,0.38359302,1018.93506,157.37183,25.96807,1.3114383,0.113852,0.20069115,0.76084834,346.0016,0.68830717,0.6954738,0.38286877,7.784824e+20,13.974629,24.397953,3.8881505,0.45067704,32.209846,40084.164,4.320685,2.453016e+23,14.69402,0.15885326,0.77143514,193.09866,inf,0.03994749,185.6113,2.3106556,inf,3.0866215,10.024274,0.6340124,0.7616103,12.782699,156275.44,1.0658085,0.8030346,0.13612448,9.787907,765.1922,0.55278134,5.703348,69365070000.0,0.14436299,9.715974,0.46683586,761751900.0,145772350.0,0.020947851,3251959300.0,3141905500000000.0,1.0920458,21469.734,0.253266,0.13511407,0.35919175,0.25720733,52.215694,0.22078559,39460.402,1.8208749,327.85873,31.530634,0.9091475,inf,0.2715278,3.0640392,11.871984,1.2458299,356.20145,0.15618078,40.62603
4EP19,77.269356,0.09683446,0.96032053,2.9466076,0.19509238,0.49854,0.35882813,0.49549875,0.036966838,13.221566,6.012761e+21,0.16578127,0.12999973,1.6028548,1.9760445,1.4930675,63005.832,4.6436105,14.286538,0.014284189,6.8417673,0.7761518,54310930.0,0.79174745,5.093646,1399.5199,0.1271506,1.4350528e+17,0.3634585,0.21057269,1.0710186,0.035139296,0.31172317,1.4849399,306.85538,1.1661127,0.34726378,57.09762,0.20456839,2.0681498,0.7508716,3.328895,1.3929025,2.310361,14202.469,1.6811805,2.7085957e+36,1529791200.0,1120.3884,2.699056,5.617561,0.061794348,1.3122768,2.7170713,0.23448904,2.967675,37.845455,1551.6809,0.6080985,20.148254,3333489.2,4.5499835,0.9966656,3.0819714,6414221300.0,373.0969,0.74547744,0.01408909,0.54746294,14843746.0,534.33563,0.4428398,2.7221339,0.4169898,11.417523,84.684494,1.3468661e+20,0.34946758,1.2983978,6.7588415,0.38759598,7.12916,0.5086816,3.6877348,0.12370759,1.6925131,2.672276,7.073769,0.15135325,35.273094,1.9084778,inf,1.6784897,4.1457005,0.70730907,8.570727,2.0485055,24163.92,0.49652222,5.6072593,1.0706956,0.61974084,0.59478116,17.920258,2.665696,0.2159042,0.17982423,496.1671,1.3864399,2143226.2,8.028934,20.742092,5630.695,255.7077,1.2643794,14.72182,8.78086,0.2280104,0.15404145,0.052953392,1.2695947,0.21071686,8415375.0,9.079657,4.1063633,527.308,6.003167,16227835000.0,2.9860744,1.6214834,0.9583044,0.724197,0.69559294,0.50096935,3577083100.0
4EP20,3.1452436,0.17441748,37327016.0,inf,2137.8154,1325556200000.0,52592400000.0,3163389000.0,0.084944844,3.0644454e+17,inf,22785.438,1807491700.0,13353.332,0.61031234,7.759276,inf,79.0607,33.691124,0.022427527,0.85057265,0.8124894,0.3460771,inf,0.82544893,2.6606333,3.8844454,4.698336,0.07808742,38.341293,222.51239,0.78070897,0.4036914,45.141266,14.880595,32.071598,1.0125467,0.86674184,22.690247,3.3698642,15.298365,1.1164542,0.02657016,0.50506055,0.72443557,376.64487,7.7900323e+34,4.4386796e+37,1.9370859,0.67395097,0.12466082,inf,0.366542,0.02415515,5.3280506,15.780878,11.249906,0.24489023,175428260000000.0,0.23091556,2.3943863,0.09260364,18.156107,2.5695107,inf,0.44852903,0.101789646,4.0003347,0.4036058,2.5835426,5.375412,0.94356287,0.31512713,0.10267083,0.18071069,0.4855634,4.0093756,0.052750446,1.610372,3.9612622,618661.25,3.5054786,0.4138049,1.7052207,0.8655009,0.2786718,368.4553,0.38504404,53.8715,1.7400775,30.471811,0.19279362,4294.0317,21831500.0,32.20923,0.30727026,4.093291,1.1225766e+18,36417303000.0,3.2791288,0.020905495,745.47345,0.9626419,0.13934559,2.134696,0.08649212,0.4450474,1.7214361,inf,0.43579793,0.0052070576,0.13829382,13.418175,inf,19.345032,12555744000000.0,0.104439266,3.3791635e+36,1.9574363,0.05894111,1.074973e+32,0.37270632,0.70008284,19.703712,29.797493,264652900.0,2.123095,305.94482,1363377200000000.0,1.2745697,3.6120117,2.446803,0.17314383,0.38991585,1261806.2
4EP21,1.9841455,0.065004386,1.5095648,inf,inf,0.09012945,1567.3562,79.71265,0.36295947,200218.34,0.08918249,0.6682233,372.91492,7.7397695,7.3116436,1078.4443,31049.676,5.433532e+32,1.3928243,13.978546,0.5977999,12.377457,10.186809,0.4895078,0.16304652,2.9677076,225.19958,0.9227067,0.26668268,1999958.9,inf,1.9460001,0.26905984,11219.3,0.758693,0.04706939,275.84128,3.9229746,1.4310884e+21,13.714772,0.078652695,1.290738,0.04708139,0.33685157,3.9280174,0.018223977,121.22453,0.3535878,1.3335124,0.095150776,0.067920335,4717.1304,1.829487e+22,2.735487,22.260979,6488351.5,0.32406092,18.874954,4.8898935,3.2186444,123.465706,13.960438,5.1202157e+31,0.1862747,0.04733692,473.84683,0.03906536,9.868855,3.2649443,3611.2593,4.394915,160001670000.0,18.721325,12691.227,0.1607366,0.5263796,3.1203153,1.3145447,inf,0.6205167,4.647734,9.3456135,1.5652493e+35,0.87672794,0.3250831,0.45195508,1.0899997,0.20361282,0.42166826,0.62446517,30.295647,249.61407,72.18646,17.903,1.813122,0.12652661,inf,1.0754038,0.54456896,0.14036398,0.41026258,995812.75,0.16313738,3776232400.0,0.69728726,561801.3,5.5107145,0.35615093,inf,2762.3801,0.81196415,inf,2.6069994,50147160000000.0,77.17193,0.082234845,2.5509984,5.2486396,inf,1.2796994,6.3082886,29366.408,0.9270501,1.7809665,31.477274,3.3867097,0.27461484,0.9118574,0.48062304,0.120889656,50092650000000.0,0.47763532,0.15260597,inf,0.29905206
4EP22,7141.503,0.32613707,1.057499,105.09406,0.40099892,0.45571265,inf,0.5049325,0.0837408,1036.2399,20004.365,11337.198,2.324004,0.34575483,1.9151058,0.51254404,3.9004326,0.11811891,13.322364,0.14047188,275.88248,0.043697957,16.201906,8.933971e+33,2.7537048,68.77741,0.15172033,3.6506715,0.9155041,1.933324,0.98836976,0.17034218,0.41273823,1.889037,31.10162,83213944.0,0.54953283,0.19471186,0.51068056,8.977636,1.9790787,2.122495,0.7859811,2.4381437,0.032029845,39.718746,1854.4655,inf,7.875723e+17,21.089375,7.096872,0.33980975,0.7335099,1.7927097,0.6897907,49143.902,570.99146,0.9117094,8.2649145,2.009502,54.016632,0.3046264,1.1973586,592370470000.0,971.3687,259.87332,1.6790109,0.0947864,1.2864144,2.7818215,85.67989,1.9170223,43256.113,0.12910861,inf,19.182987,40.258793,520.7908,1.1988187,16.547422,54.915478,1.5979949,inf,14.693932,0.19358163,1.3657298,0.55471057,6800590500000.0,0.4199837,38324.81,2.030493,inf,3.5447464,2.8978136,1.21123,1.9792805,8.4147835,242.86653,0.27313542,0.28529823,0.13262728,2.059693,1.3262647,0.33562976,7.8447275,25.354252,3.2927907,8.943297,0.20747624,47627977000.0,62163.043,0.05938304,10.931349,44737.176,3.5334046,28596.004,0.11926748,0.23325174,0.313668,0.09118865,21.999798,0.30828127,10.620948,0.7276984,18.504795,44.920494,0.6094069,3.102858e+23,0.37109727,1.6830753,1.7813587,0.8981235,210.8513,0.20751353,56751040000.0
4EP23,2.5764244,0.26136264,0.28062192,1.7812128,2.3139606,0.23498212,5.4260574e+18,4.417781,0.26716098,1.9119468,0.84381986,2.595672,9549.159,0.22674857,1.5455458,0.44630995,4.763899,0.33329812,59.815544,0.26798666,234.40076,0.17410642,3.1586367e+31,5.3845944,1.5969461,4.667761,0.07834752,7.6176486,1.1248963,0.42085794,0.7614056,0.5118784,1.7150637,0.8355851,18.529015,28.41542,1.4480289,1079604000.0,0.3701131,13087.918,0.45252112,0.21349935,0.18849564,0.3316554,0.7657159,2404.7195,7843.669,inf,406.9923,3.2077208,4634.687,0.03962655,2.1112254,6.6792116,0.12531506,8.65633,257465730.0,0.14577305,1.1176317,0.42830825,1074.0829,1.0331099,0.5188132,37048.33,41169.48,3.6870036,1.2594385,0.031748593,4.993073,3.6441689,14.517484,1.0269909,inf,4.493568,inf,10.983549,20726368000.0,0.3307024,1.9080936,4.571711,0.23057762,6.2733774,14426.982,15.195899,1.2503222,1.7016524,3.1687973,34.92747,0.37547442,0.1828272,0.6998208,inf,19.786106,7.8151655,2.9212809,948.0873,3.6857686,115.55344,0.60458535,0.084234245,0.16072305,1.4367794,6.3905416,5.230102,2.153874,0.15701398,29.224213,146145020000000.0,0.44834566,6589.593,0.7357972,0.094608046,52809.773,2635.4612,2.0468836,1.1518734,0.9531726,320450.6,0.5141188,0.28760576,5.3560834,0.2228334,43397.242,7.799048,58.80529,16652258.0,0.18752114,2.6282606e+23,0.13567889,2.5462425,680625200.0,1.1486192,81.95354,0.24170914,0.43276438
